L2_orth,L2_ipa,L2_gloss,L2_etym
مۆز,,(figuratively) angry,
مۆز,,banana,
مۆز,,banana,
مۆسیقا,,(chiefly Iraq) music,
میکرۆب,,microbe,
میکرۆفۆن,,microphone,
مێ,,female,
مێز,,table,
مێش,,fly (insect of the family Muscidae),
مەرگ,,death,
مەقەس,,scissors,
مەکتووب,,(Iraq) letter (a document),
مەگەز,,fly (insect of the family Muscidae),
نا,,no,
ناسین,,"to know, to be acquainted with, to recognize",
نامە,,letter (a document),
نان,,bread,
نوێ,,new,
نۆ,/noː/,nine; 9,
نۆزدە,/noːzda/,nineteen; 19,
نیاز,,need,
نینۆک,,fingernail,neynûk
نێڕ,,male,
نە,,no,
نە,,not (negative subjunctive prefix),
نەزانی,,ignorance,
نەچە,,(Jafi) generation,
و,,and,
وشک,/wəʃk/,dry,
وشەنامە,,dictionary,
وەخت,,time (inevitable passing of events),
وەرز,,season,
پ,,The third letter of the Kurdo-Arabic alphabet. Its name is پا‎ (pa) and it has the sound of English P. It is preceded by ب‎ (bi) and followed by ت‎ (ti).,
پارچە,,piece,
پارێزەر,,lawyer,
پارە,,money,
پانزە,/paːnza/,fifteen; 15,
پاکستان,,Pakistan,
پایز,,"autumn, fall",
پرتەقاڵی,/pəɾtaqaːɫiː/,orange,
پرد,,bridge,
پشیلە,,cat,
پووڵ,,"money, Synonym: پاره‎ (pare)",
پیاو,,man,
پیشە,,occupation (activity or task with which one occupies oneself),
پێ,,(anatomy) foot,
پێ,,"form of ""بە‎ (be)"" used with clitic pronouns
‏بەڵێنم پێت دا‎ ― bellênim pêt da ― I promised you
‏هیچت پێ ناکرێ‎ ― hîçit pê nakirê ― nothing can be done by you",
پێ,,(of a person) fasting,
پێغەمەر,/peːɣamaɾ/,prophet,
پێنج,/peːnd͡ʒ/,five; 5,
پەرتووک,,book,
پەرتوک,,Alternative form of پەرتووک‎ (pertûk),
پەنیر,,cheese (dairy product),
پەنێر,,Alternative form of پەنیر‎ (penîr),
پەڕتووک,,Alternative form of پەرتووک‎ (pertûk),
پەڵگ,,(anatomy) eyelid,
چ,,"(interrogative) what, which",
چادر,,tent,
چار,,"Alternative form of چاره‎ (çara, “help, remedy”)",
چار,,"Alternative form of چوار‎ (çwar, “four”)",
