ID,Form,IPA,Gloss,Language_ID
0,aman,,water,0
1,ⴷⵔⵔ,,Tifinagh spelling of adrar‎‎,0
2,ⴹⵎ,,Tifinagh spelling of udəm‎‎,0
3,ⴼⵙ,,Tifinagh spelling of ăfus‎‎,0
4,ⴾⵍ,,Tifinagh spelling of ăkal‎‎,0
5,ⵎⵏ,,Tifinagh spelling of aman‎‎,0
6,ⵎⵔⵓ,,Tifinagh spelling of măraw‎‎,0
7,ⵓⵍ,,Tifinagh spelling of awal‎‎,0
8,ⵓⵍ,,Tifinagh spelling of ul‎‎,0
9,ⵗⴼ,,Tifinagh spelling of eɣăf‎‎,0
10,ⵜⵔⵉ,,Tifinagh spelling of atri‎‎,0
