L2_orth,L2_ipa,L2_gloss,L2_etym
ᩈᩮᩬᩥ᩵ᩋ,,mat.,
ᩉ᩠ᨾᩣ,,dog,
ᩉᩖᩋᩯ᩠ᨶ,,fingerroot (Boesenbergia rotunda).,
ᩉ᩠ᩃᩋᩯ᩠ᨶ,,Alternative form of ᩉᩖᩋᩯ᩠ᨶ,
ᩉᩖᩡᩋᩯ᩠ᨶ,,Alternative form of ᩉᩖᩋᩯ᩠ᨶ,
ᩉ᩠ᩃᩡᩋᩯ᩠ᨶ,,Alternative form of ᩉᩖᩋᩯ᩠ᨶ,
ᩉ᩠ᩅᩫ,,head,
ᩉᩢ᩠ᨶ,,to see,
ᩉᩩᨾ,,to like,
ᩉᩫ᩠ᩅ,,Misspelling of ᩉ᩠ᩅᩫ (“head”).,
ᩉᩯ᩵ᩉᩯ᩠ᨶ,,"Tai Tham script form of แห่แหน (""to walk in a procession"")",
ᩋᩪ᩶,/ʔu᷇ː/,"to speak, talk",
ᩋᩬᨠᩋᩴᩬ,,brain,
ᩓ,,and,
