L2_orth,L2_ipa,L2_gloss,L2_etym
aninipot,,firefly,
ankla,,anchor,
ankla,,anchor,
anting-anting,,"amulet, talisman",
antipara,,"eyeglasses, glasses, spectacles",
antipatiko,,"repugnant, repulsive",
antiyado,,buff (color),
anum,,six,
anyil,,indigo,
apa,,"dumb, mute, tongue-tied",
apan,,an adult locust,
apang,,but,
aparador,,"cupboard, dresser, sideboard",
apat,/ˈa.pat/,four,
apdo,,"(anatomy) bile, gall, gall bladder",
apendisitis,,appendicitis,
apian,,opium,
apinas,,"difficult, scarce, trying",
apo,,grandchild,
apo,,grandfather,
apog,,(geology) limestone,
apok,,eczema,
arado,,plough,
Arcilla,,"A  surname, from Spanish​.",
arina,,"flour, May nina ang arina., He had the flour.",
arina,,sand,
arina,,sand,
aritmetika,,arithmetic,
aritos,,earring,
arnibal,,"syrup, caramel, coconut caramel (latík), molasses,",
aro,,leprosy,
aroro,,arrowroot,
aros,,rice,
arpa,,"harp, lyre",
arte,,"art, skill",
artikulo,,article,
asero,,steel,
asibar,,aloe,
asilo,,"asylum, protection, shelter, refuge",
asin,,salt (sodium chloride),
asin,,to salt (add salt to),
asinan,,salt mine,
aslang,,chin,
aso,,smoke,
aso,,fumigate,
asoy,,useful,
asoy,,"declaration, explanation; a clear statement",
asugi,,mercury,
asukar,,sugar,
asunto,,"concerning, with regard to",
asunto,,lawsuit,
aswang,,"(folklore, mythology) aswang (shapeshifting evil creature in Philippine mythology)",
atake,,attack,
atatalo,,caterpillar,
atatayog,,useless; up to no good,
atay,,(anatomy) liver,
athag,,"clear, distinct",
athag,,clarify,
atipalo,,earwig,
atis,,sugar apple (Annona squamosa),
atog,,(anatomy) glans penis,
atomo,,(physics) atom,
aton,,us,
atop,,roof,
atop,,to roof,
atsara,,pickles,
atubang,,to confront; to face,
awa,,"compassion, mercy, pity",
awat,,"occupation, work",
awtopsiya,,autopsy,
ayag,,sift,
ayagan,,sieve,
ayam-ayam,,ant,
ayi,,spleen,
ayo,,a pet name,
ayo,,to ask or request,
aypon,,protege,
ayuda,,"aid, help",
ba-og,,"gray, grey",
baak,,"crushed, broken",
baak,,"crush, squeeze",
baas,,"diminish, lessen",
baba,,mouth,
baba-an,,"glib, talkative",
babae,,"dame, maid, mistress, girl",
babana,,soursop,
babaye,,female; woman or girl,
babayen-on,,effeminate,
babayi,,Alternative form of babaye,
babaylan,,"healer, shaman",
babha,,"wound, gash",
baboy,,pig (mammal of genus Sus); swine,
Bacolodnon,,A native or inhabitant of Bacolod City.,
badlak,,"beam, dazzle, sparkle",
badlu,,phlegm,
bag-o,,"new, fresh",
bag-o,,to renew,
bag-ohan,,beginner,
baga,,"charcoal, cinder, coal, light",
bagani,,act of heroism,
baganihan,,hero,
bagat-bagat,,centipede,
bagatnan,,south,
bagnas,,unripe,
bago,,renovate,
bagon,,wagon,
bagoong,,shrimp paste,
bagrong,,sound,
bagsat,,bedbug,
bagting,,"chime, ring, toll",
bagtis,,mudfish,
bagyo,,tropical cyclone,
baha,,flood,
bahaw,,(of food) cold,
bahaw,,cold rice,
bahawbahaw,,ant,
bahol,,"odor, smell, stink",
bahon,,to sneeze,
bahoy,,"witch, sorceress",
bahoy,,to enchant or cast a spell upon someone,
bailo,,"change, barter, swap",
bairan,,whetstone,
bais,,sharpen,
baka,,"cow, bull, ox",
bakal,,to buy; to purchase; to shop,
bakalaw,,codfish,
bakolod,,"hill, hillock, mound, slope",
bakud,,"firm, robust, stable, stout, strong, sturdy",
bakyas,,"(of soil) rocky, stony, barren",
bakyas,,"stone, rock",
bal-ag,,a metal file,
balaan,,"divine, holy, pious, upright, virtuous",
balaanon,,"(religion) saintly, blessed, holy",
balaba,,rattan,
balabag,,impediment,
balabaw,,"mouse, rat, rodent",
balagon,,vine,
balahibo,,feathers,
balaklon,,"commodities, goods, wares",
balaligya,,"commodities, goods, merchandise",
balanak,,(a kind of fish) mullet,
balangaw,,rainbow,
balangitaw,,"(animal) alligator, crocodile",
balani,,"magnet, magnetism",
balanion,,magnetic,
balaod,,dysentery,
balas,,sand,
balason,,sandy,
balasubas,,"(money) broke, short of cash",
balataan,,"(anatomy) uterus, womb",
balatas,,galaxy,
balatian,,"disease, illness, sickness",
balatian,,"to have a disease, to be ill",
balatong,,vegetables,
balaw,,"asphalt, pitch, resin, tar",
balaw,,"(interrogative) Questions listener's thoughts or opinions, often in a conditional sense.",
balay,,"home, house, building",
balay,,"to start building a house, (baseball) to hit a home",
balaynon,,"domestic, homely",
baldado,,"crippled, handicapped, maimed",
balde,,"bucket, pail",
baleu,,"change, transform, transmogrify",
balhag,,"printed, published",
balhag,,"print, publish",
balhin,,"alter, change, transform",
bali,,broken,
bali,,break,
balibad,,"excuse, pretext",
balidha,,law; legislation,
baligya,,sale,
baligya,,sell,
balihawog,,"bolt, latch",
balikawang,,"haunch, hip, loins",
baliko,,arch,
balingon,,anchovy,
balisbisan,,eaves,
balising,,cross-eyed squint,
baliskag,,vertebra; spine,
balita,,"information, news",
balita,,"to inform, to proclaim",
balitadhan,,honeysuckle,
Balmaceda,,"A  surname, from Spanish​.",
balo,,widow,
balo,,an alarm or warning,
balo,,a slip knot or noose,
balo,,to warn of danger,
balo,,(obsolete) to know,
balota,,ballot,
balotanog,,"insufficient, unsatisfactory",
balsamo,,"balm, balsam (clarification of this definition is needed)",
balunggay,,"a type of tree, the malunggay or horseradish tree, Moringa oleifera",
Baluyot,,A  surname of native origin.,
baluyot,,sack; bag; pouch; wallet,
bana,,husband,
bana,,"opinion, guess, thought",
banaag,,gleam,
banag-banag,,"dawn, daybreak",
banas,,"path, trail",
banda,,strap,
bandeha,,"platter, plate",
bandehado,,platter,
bandera,,flag,
banga,,water jar,
banga,,"like, enjoy",
bangdan,,"cause, reason, motive",
bangis,,"fierceness, inhuman, violent",
bangis,,"brutality, cruelty",
bangis,,"to be or become brutal, cruel, inhuman, or violent",
bangka,,"surfeit, boat",
bangkaw,,lance; spear,
bangkay,,cadaver; corpse,
bangkil,,tusk,
bangko,,"bench, bank",
banglid,,"elevation, hill",
bangon,,the right and left epigastric artery,
bangon,,to rise from a lying position,
bangot,,"bind, tie",
