L2_orth,L2_ipa,L2_gloss,L2_etym
dan,/dɑ̃/,"in, within",
de,/de/,two,
defakto,,"de facto, in fact or in practice",
defans,,defense,
defigire,/defiɡiʁe/,"to disfigure; deface, to distort, to be disfigured",
deg,[deɡ],large cooking pot,
dega,/deɡa/,"damage, Synonym: andomazman",
degou,[deɡu],"disgust, repugnance, hatred",
degti,[deɡtʃi],"cooking vessel, cooking pot",
deklare,,"to declare, announce, to show off",
deksi,[deksi],"cooking vessel, cooking pot",
delo,,Alternative form of dilo,
delwil,,oil,
denigre,/deniɡʁe/,"to denigrate, humiliate, criticize, Synonyms: abese,",
depans,,expense,
desam,,December,
devet,[devet],"maybe; perhaps, Synonyms: bizin, kapav",
devire,,"to overturn, topple, to upset",
devlope,,refined,
devlope,,"to develop, progress",
devlope,,"to develop, progress",
deziem,,second,
diab,,"ghost, evilness, devil",
diber,,butter,
dibwa,,wood,
didi,/didi/,"sister, Synonym: ser",
difil,,"thread, string",
diksioner,,dictionary,
diksyoner,,Alternative spelling of diksioner,
dilo,,water,
dimande,,To ask,
dimans,,Sunday,
dipen,,bread,
dipwav,,pepper (spice),
diri,,rice,
dis,,ten,
disab,,sand,
disan,,blood,
disel,,salt,
disik,,sugar,
dite,,tea,
divan,,"before, ahead",
divan,,the wind,
divan,,the wind,
dizef,,egg,
dodo,,dodo bird,
dodo,,to sleep (childish),
dodo,,to sleep (childish),
douk,,distress,
douz,,twelve,
drom,[dʁom],"a membranophone, a large cylindrical container for",drum
duk,,Alternative spelling of douk,
duri,,Alternative form of diri,
duz,,Alternative spelling of douz,
dyab,,"demon, devil, ghost",
e,,the fifth letter of the modern Latin alphabet,
e,,and,
e,,and,
egzanp,,example,
ek,[ek],and,
ek,[ek],with,
ekrir,/ekʁiːə/,to write,
ekrivin,/ekʁivɛ̃/,"writer, author, Synonym: oter",
elevasion,/elevasjɔ̃/,elevation,
elve,/elve/,"high, Synonym: ot",
elve,/elve/,"to raise, to heighten, to bring up",
emplante,,to implant,
emportan,,important,
ena,/ena/,"to have, (impersonal) there is; there are",
enn,,one,
enn,,"a, an",
enzenyer,,engineer,
eski,,Marks a question when placed at the beginning of a,
esplike,,to explain,
etranze,,"stranger, foreigner",
etranze,,"strange, foreign, unknown",
exkreman,/ekskʁemɑ̃/,"excrement, defecation, Synonyms: bezwin, kaka, tata",
fakter,,"factor, reason",
fakter,,postman,
fakter,,postman,
fam,,(derogatory) woman,
farata,,paratha,
fatigan,,"tiresome, troublesome",
fatige,,tired,
feb,,weak,
febles,,weakness,
fenomenal,/fenomenal/,phenomenal,
fenomenn,/fenomɛn/,phenomenon,
fer,,"To make, To do",
fess,,"bottom, buttock, arse",
fevriye,,February,
figir,/fiɡiːə/,face,
figir,/fiɡiːə/,Medial form of figire,
figir,/fiɡiːə/,Medial form of figire,
figire,/fiɡiʁe/,"to appear, to figure",
filling,/filiŋ/,facility which sells fuel and lubricants for motor,filling station
fineray,[fineʁay],funeral,
fini,,to finish,
finn,/fin/,(auxiliary) Used to indicate present perfect tense,
fizi,,"rifle, gun",
fler,/flɛː/,flower,
fleri,/fleʁi/,"to flower, blossom, bloom",
fleris,/fleris/,florist,
floral,/floʁal/,floral,
fol,/fol/,"(feminine) mad, crazy person",
fol,/fol/,"(feminine) mad, crazy, insane, Synonym: pagli",
fou,/fu/,"(masculine) mad, crazy person",
fou,/fu/,"(masculine) mad, crazy, insane, Synonym: pagla",
fourmi,,ant,
fouye,,to dig,
frambwaz,,raspberry,
Franse,,French person,
fre,/fʁe/,"chilly, chilled, cold, fresh",
frer,/fʁɛː/,brother,
freser,/fʁesɛː/,"chilliness, coldness, freshness",
frez,,strawberry,
frisiter,,Spondias dulcis,
frizider,,refrigerator,
fromaz,,cheese,
fwa,,time (an instance of something happening),
gagne,/ɡɛɲe/,"to be., to have., to win., to gain; obtain.",
gajak,/ɡadʒak/,a snack; appetizer; starter,
galoupe,,to run,
gaon,/ɡaɔ̃/,"village, Synonym: vilaz, countryside, Synonym: lakanpagn",
garson,,"boy, son",
gate,,"gate, entrance door",gate
gate,,"darling, sweetheart, Synonym: cheri",gate
gate,,"spoilt, stale, expired",gate
gate,,"darling, sweetheart, Synonym: cheri",gate
gate,,"spoilt, stale, expired",gate
gato,,cake,
gazon,,"grass, turf",
gete,,To look at,
ghin,[ɡʰin],"disgust, repugnance, hatred",
gid,/ɡid/,a guide,
gid,/ɡid/,Medial form of gide,
gide,/ɡide/,to guide,
glason,,ice,
gogot,,(vulgar) penis,
gogotri,,stupidity,
gramaten,,morning,
gramatin,,morning,
gramer,,grammar,
gran,/ɡʁɑ̃/,"great, grown-up, big, tall",
granmama,/ɡʁɑ̃mama/,"grandmother, great-grandmother, Synonyms: granmer,",
granmer,/ɡʁɑ̃mɛː/,"grandmother, Synonyms: aji, dadi, granmama, mami, nani",
granpapa,/ɡʁɑ̃papa/,"grandfather, great-grandfather",
granper,/ɡʁɑ̃pɛː/,"grandfather, Synonyms: aja, dada, granpapa, papi, tata",
gri,,grey,
grigri,,black magic,
gunga,,mute (a person who cannot speak),
horni,/(h)oɾni/,"a shawl; scarf, a veil",
ibiskis,,hibiscus,
ibou,,owl,
imilian,"/imiljɑ̃,  ym-/",humiliating,
imiliasion,"/imiljasjɔ̃, ym-/",humiliation,
imilie,/imilje/,"humiliate, Synonyms: abese, denigre",
informasion,[ɛ̃foːmasjɔ̃],"broadcast news, Synonyms: samachar, zournal, news,",
inn,/in/,(auxiliary) Used to indicate present perfect tense,
interesan,,interesting,
interese,,To interest; to be interested.,
ipnotize,,to hypnotise,
ipokrit,,hypocrite,
itilizasion,/itilizasjɔ̃/,"utilisation, use",
itilizater,/itilizatɛː/,user,
itilize,/itilize/,"to use, utilise, Synonym: servi",
ivwar,,ivory,
jafran,,saffron,
jangli,,wild,
jos,/dʒos/,"pleasure; happiness, Synonym: lazwa",
kabri,,goat,
kadav,/kadav/,"corpse, cadaver",
kaka,/kaka/,"poo, excrement, Synonyms: bezwin, exkreman, tata",
kaka,/kaka/,"to poo, defecate",
kakatwa,,"cockatoo, parrot",
kalamindas,,candy floss,
kalash,[kələʃ],(Hinduism) a kalasha,
kali,,cactus,
kalot,,slap,
kamaleyon,,chameleon,
kamaron,,prawn,
kamli,[kamli],"blanket, Synonyms: kouvertir, kwet, molton",
kan,,when,
kana,,food,
kanar,,duck,
kanguru,,kangaroo,kangaroo
kankrela,,cockroach,
kanpagn,"/kɑ̃paɲ, -aj/","campaign, alternative form of lakanpagn",
kanpagnar,/kɑ̃paɲɑː/,countryside dweller,
kapav,[kapav],"maybe; perhaps, Synonyms: bizin, devet",
kapav,[kapav],(auxiliary) can; to be able to,
karanbol,,star fruit,
karapat,,tick (arthropod),
karay,[kaʁaj],"a cooking pan, frying pan",
kari,,curry,
karipule,,curry leaf (Murraya koenigii),
karot,,carrot,
karote,,"to pinch, squeeze",
kas,/kas/,"money, Synonyms: larzan, paisa, cash",cash
kas,/kas/,Medial form of kase,cash
kas,/kas/,Medial form of kase,cash
kasbol,,praying mantis,
kase,,to break,
kaskad,,waterfall,
kasrol,[kasʁol],saucepan,
kasyet,,to hide,
kat,,four,
katedral,/katedʁal/,(Christianity) cathedral,
katorz,,fourteen,
kav,[ka(v)],(auxiliary) can; to be able to,
kenz,,fifteen,
kestard,,custard,custard
khala,/kʰala/,"aunt, Synonym: matant",
ki,,"(relative) who, (relative) what",
ki,,"than, that",
ki,,"than, that",
kifer,,why,
kikfwa,,maybe,
kiksoz,,Alternative form of kitsoz,
kinz,,Alternative spelling of kenz,
kisanla,,Alternative spelling of kisann-la,
kisann-la,,(interrogative) who,
kitsoz,,something,
kler,,clear,
klun,,clown,clown
kodak,,camera,
koka,,"Coca Cola, any soft drink",
koki,,shell,
kokin,/kokɛ̃/,to steal; rob.,
kokiyaz,,shell,
kokom,,cucumber,
koltar,,asphalt,coaltar
koltare,,to pave with asphalt,
komie,,"how much, how many",
komye,,Alternative spelling of komie,
koneksion,[koneksjɔ̃],connection,
konekte,[konekte],to connect,
konexion,,Alternative form of koneksion,
konfi,,"preserved, pickled",
kongolo,,craziness; insanity,
kontan,,happy; pleased,
kontan,,To like; to be pleased by,
koral,/koral/,choir,
kot,,where,
kou,,neck,
kou,,blow; strike,
kou,,blow; strike,
kouler,/kulɛː/,colour,
kouma,,"how, like",
kourpa,,giant African land snail,
kouver,[kuvɛː],"covered, cloudy",
kouver,[kuvɛː],to cover,
kouvertir,[kuvɛːtiːə],"cover, covering",
kouyon,[kujɔ̃],"(vulgar) dickhead, bastard, a stupid person",
kouzen,,(male) cousin,
kouzin,,(female) cousin,
koze,,"To talk, to speak, To cause",
koze,,speech; talk; talking,
krab,,Alternative form of krap,
krap,,crab,
krapo,,"frog, toad",
kreol,,A creole language.,
kreol,,(informal) Mauritian Creole,
krevet,,"shrimp, prawn",
kreyon,/kʁejɔ̃/,pencil,
kriye,,"to scream, shout",
krokodil,,crocodile,
ku,,Alternative spelling of kou,
kuma,,Alternative spelling of kouma,
kuvertir,,Alternative form of kouvertir,
kwet,[kwet],"duvet, quilt, blanket, Synonyms: kamli, kouvertir,",
labalenn,,whale,
labarb,,beard,
labou,,mud,
labouzi,,"candle, spark plug",
labriz,,"wind, air, breeze",
lafarin,,flour,
lafnet,/lafnet/,window,
lafore,,forest,
Lafrans,,France,
Lafrik,,Africa,
lagazet,[laɡazet],"newspaper, Synonym: zournal",
lagorz,,throat,
lakanpagn,/lakɑ̃pãj/,"countryside, Synonym: gaon",
lakaz,,house,
lake,,"tail, queue",
lakesunga,,a character from Mauritian folklore similar to the,
lakle,,key,
laklos,,bell,
lakol,,glue,
lakord,,"rope, string",
lakot,,coast,
lalang,,tongue,
lalimyer,,light,
lalin,,moon,
lalin,,line,
lalin,,line,
lalkol,,alcohol,
lamant,,mint,
lame,[lame],hand,
lamer,,sea,
Lamerik,,America,
lamizik,,music,
lamizman,/lamizmɑ̃/,"fun, Synonym: maja, amusement",
lamok,,"large mug, goblet",
lampoul,,light bulb,
langaz,,language,
lanterman,[lɑ̃tɛːmɑ̃],"burial, funeral",
lao,/lao/,"upstairs, Antonym: anba",
lao,/lao/,"upstairs, Antonym: anba",
lao,/lao/,"over, Antonym: anba",
lapat,,"paw, (animal) leg",
lapay,,straw,
lapen,,rabbit,
lapenn,,"effort, pain, suffering",
laplaz,,beach,
laplenn,,"plain, field",
lapli,,rain,
lapolis,,police,
laport,,door,
lapousyer,,dust,
larak,,alcoholic beverage,
larenn,/laʁɛn/,"queen, Synonyms: maharani, rani, female ruler, Synonym:",
larivyer,,river,
larou,,wheel,
larzan,/lɑːzɑ̃/,"money, Synonyms: kas, paisa",
lasam,,room,
Lasinn,,China,
lasours,,"source, foundation",
latab,,table,
later,,"land, earth, soil",
latet,/latet/,head,
latwal,,"material, cloth, fabric",
