L2_orth,L2_ipa,L2_gloss,L2_etym
-իկ,,forming diminutives,
-իչ,,"forming agent nouns, -er",
իրիցուկ,,"camomile (Matricaria gen., Anthemis gen. and Chamaemelum",
լախտ,,"club, mace, whip, scourge",
լակոտ,,puppy,
լաճ,,"boy, servant, lackey[3]",
լապաստակ,,"hare (Lepus), լապըստըկի ականջ ― lapəstəki akanǰ ― Cynoglossum",
լաւշ,,Alternative form of լօշ (lōš),
լեհ,,"Pole, 15–16th century, Karapet Bałišecʿi, Otanawors",
լերդ,,liver,
լերդախոտ,,"germander, Teucrium[4][5]; wall germander, Teucrium",
լոսդի,,"a kind of river salmon, finished 1731, Stefanus Roszka,",
լովիաս,,kidney bean,
լուսնկայ,,moon,
լուսնկայ,,moonlit (of night),
լօշ,,"lavash, thin flat bread",
լօշ,,(botany) cyclamen,
լօշ,,(botany) cyclamen,
լօշիկ,,Diminutive of լօշ (lōš),
լօշտակ,,bryony,
խաշխաշ,,"opium poppy, Papaver somniferum, 9th or 10th century,",
խարբզակ,,Alternative form of խարպիզակ (xarpizak),
խարբուզակ,,Alternative form of խարպիզակ (xarpizak),
խարպզակ,,Alternative form of խարպիզակ (xarpizak),
խարպիզակ,,"melon (the fruit of Cucumis melo), c. 1130, Dawitʿ",
խենթ,,"crazy, mad, foolish, 12th century, Pseudo-Epiphanius,",
խեչակ,,"prop, stay, support (for plants)",
խլէզ,,"lizard, 13–14th centuries, Kirakos Episkopos, Govkʿ",
խորբալ,,"wheat, Synonym: ցորեն (cʿoren), 12th century, Samuēl",
խուլ,,"swelling, tumour, gland",
խրչան,,"(of pack animals) skittish, 13th century, Faraj the",
ծէս,,"rite, ritual, ceremony, 1478 – 1492, Amirdovlatʿ Amasiacʿi,",
ծղրիդ,,some kind of cricket,
ծղրիթ,,Alternative form of ծղրիդ (cłrid),
ծոր,,"common barberry, Berberis vulgaris (plant and berry),",
կակաչ,,"poppy, Papaver, 12–13th century, Mxitʿar Goš, Aṙakkʿ",
կակաջ,,Alternative form of կակաչ (kakačʿ),
կաղճին,,Alternative form of կաղջին (kałǰin),
կաղջին,,"mortar, a kind of clayey soil",
կայտ,,mark on marble (?),
կանափ,,Alternative form of կանեփ (kanepʿ),
կանեփ,,"hemp, Cannabis, 13th century, Girkʿ Vastakocʿ [Geoponica]",
կապուտ,,"blue, կապուտ հազ ― kaput haz ― whooping cough, կապուտ",
կապուտ,,"blue, blue dress, blue kerchief, (figuratively) sky",
կարագ,,"butter, թարմ կարագ ― tʿarm karag ― fresh butter, ընտիր",
կարոս,,"parsley, Petroselinum[3], celery, Apium[4]",
կեռաս,,sweet cherry (Prunus avium) (fruit),
կէտ,,a kind of fly that bites donkeys and cattle,
կիպ,,"tight, compact",
կլայեակ,,Alternative form of կլայեկ (klayek),
կլայեկ,,"tin, Synonyms: ղալայ (łalay), ռիսաս (ṙisas), 1265,",
կլափ,,"jaw, 1578 – 1632, Movsēs Tatʿewacʿi, Ołb i mahn Srapion",
կլիր,,penis,
կճիճ,,Alternative form of կճուճ (kčuč),
կճուճ,,"pot, earthen-pot, pipkin",
կշիւռ,,"weight, 1252 – 1253, Smbat Sparapet, Ansizkʿ Antiokʿay",
կշտանալ,,(intransitive) to eat one's fill; to be full (after,
կոծոխուր,,"common barberry, Berberis vulgaris (plant and berry),",
կոպիտ,,"coarse, rough, crude, rude, bad-mannered",
կոռ,,"forced labor, unpaid labor, corvee",
կոստղ,,cover of a book,
կոտեմ,,"garden cress, Lepidium sativum, 6th–12th? centuries,",
կոտիմն,,Alternative form of կոտեմ (kotem),
կոտոշ,,horn (of an animal),
կուզ,,"hump, hunch",
կուզ,,"humpbacked, hunchbacked",
կուղբ,,"beaver, 1184, Mxitʿar Heracʿi, J̌ermancʿ mxitʿarutʿiwn",
կուք,,"found only in Baṙgirkʿ hayocʿ, glossed as “խոնարհք",
կռահել,,to guess,
կռկռալ,,"to croak (said of birds, particularly crows, as well",
կտեւ,,"rind, shell, bark (of fruits, nuts, trees), c. 1130,",
կրունկ,,heel,
հազար,,thousand,
Հազարդեղ,,"A unisex given name, 1303, Inscription (Tombstone 10",
Հասան,,"A male given name, equivalent to English Hassan",
Հասան-Բուղա,,"A male given name, 1303, Inscription (Tombstone 10",
հարսանիթէ,,"a type of disease that causes red skin rash, perhaps",
հերթով,,"in turn, by turns, in consecutive order",
հորաղբայր,,"uncle (father's brother), Inscription (Tombstone 8",
հու,,purulent blood,
հուն,,"way, direction, course, ի հուն ելնել ― i hun elnel",
հունաւոր,,"limited, having a limit",
հօրու,,stepfather,
ձարխոտ,,"maidenhair fern (Adiantum)[1] or, more specifically,",
ձաւար,,"boiled and crushed wheat, barley or spelt, 13th century,",
ձետ,,penis,
ձկնկուլ,,cormorant or grey heron (Ardea cinerea),
ձմերուկ,,"watermelon (plant and fruit) (Citrullus lanatus, syn.",
ձու,,"egg, testicle",
ձուազեղ,,Alternative form of ձուածեղ (juaceł),
ձուածեղ,,omelet,
ձուաձեղ,,Alternative form of ձուածեղ (juaceł),
ճակնդեղ,,"beet, Beta vulgaris (plant); beetroot, Synonyms: չքնտուր",
ճանդար,,Alternative form of ճանդարի (čandari),
ճանդարի,,"plane tree, Platanus, 13th century, Kirakos Ganjakecʿi,",
ճատրակ,,chess,
ճիվ,,"leg, shank, 13–14th centuries, Kirakos Episkopos, Govkʿ",
ճիտ,,"neck, 12–13th century, Vardan Aygekcʿi, Žołovacʿoykʿ",
ճոկան,,"crosier; crook, loaded stick or cudgel",
մազկապ,,"hair tie, hairband, 1574, Protocols of the Armenian",
մալ,,"property, possession, cattle, livestock",
մալ,,a kind of tax levied on cattle,
մալ,,a kind of tax levied on cattle,
մախթ,,Alternative form of մաղթ (małtʿ),
մախր,,Alternative form of մարխ (marx),
մաղթ,,"the designation of various natural gums and resins,",
մաճար,,"must, partially fermented wine, 14th century, Grigor",
մամ,,"mother, grandmother",
մամիկ,,Diminutive of մամ (mam),
մանիշակ,,violet (flower),
Մանկասար,,A male given name. Mankasar.,
մաննեխ,,"mustard (plant and seeds), 9th or 10th century, with",
մանշուր,,decree,
մանշուր,,"spread, propagated, disseminated",
մաշկաթեւ,,"bat, 13–14th centuries, Kirakos Episkopos, Govkʿ Tʿṙčʿnocʿ",
մաշկաթեւիկ,,Synonym of մաշկաթեւ (maškatʿew),
մաշկթեւ,,Alternative form of մաշկաթեւ (maškatʿew),
մասուր,,"dog rose, Rosa canina (the plant and especially its",
մատն,,hillside,
մատուտակ,,"licorice, Glycyrrhiza glabra, Synonyms: մարուխ (marux),",
մարագ,,hayloft,
մարզպան,,"a measure of grain or liquid, equal to 1⁄10 մոդ (mod)",
մարի,,"female bird, hen, female bee",
մարխ,,"a kind of a resinous conifer, perhaps Pinus pinea or",
մգլահոտ,,smelling like mould,
մգլահոտ,,smell of mould,
մզգիթ,,Alternative form of մզկիթ (mzkitʿ),
մզկիթ,,"mosque, 1113 – 1140, Mattʿēos Uṙhayecʿi, Žamanakagrutʿiwn",
մէրի,,"woods, forest",
միրուք,,beard,
մշուշ,,fog,
մոծակ,,mosquito,
մոշ,,"blackberry, dewberry, bramble, Rubus gen. et spp. (berry",
մոշենի,,"blackberry, dewberry, bramble, Rubus gen. et spp. (shrub)",
մոշի,,"blackberry, dewberry, bramble, Rubus gen. et spp. (shrub)",
մոր,,Alternative form of մորմ (morm),
մորի,,"woods, forest",
մորի,,bramble,
մորի,,bramble,
մորմ,,"nightshade, hound's berry, or the like, blackberry,",
մորմ,,"a kind of poisonous spider, probably wolf spider, tarantula,",
մորմ,,"a kind of poisonous spider, probably wolf spider, tarantula,",
մորմենի,,blackberry (plant),
մունճ,,Alternative form of մունջ (munǰ),
մունջ,,"dumb, mute, silent, speechless",
մուշտակ,,"fur, pelt (of an animal), 12th century, Nersēs Šnorhali,",
Մուրադ,,"A male given name, Murad, Inscription (Tombstone in",
մուրուք,,beard,
մռել,,"to listen, to obey",
մռեղ,,"dust, chaff, ash",
Մսըր,,"Egypt (a country in North Africa and Western Asia),",
մսքիթ,,Alternative form of մզկիթ (mzkitʿ),
յակինթ,,a certain precious stone,
յակունդ,,Alternative form of յակինթ (yakintʿ),
յաղթ,,victory,
յաղթ,,"mightily, well",
յայտ,,"known, evident, clear, visible",
յայտ,,"evidently, obviously, plainly, clearly, manifestly",
յասախ,,Alternative form of ասախ (asax),
յատակ,,"bottom (e.g. of a sea, stomach, etc.), land, country,",
յունապ,,jujube (fruit of Ziziphus jujuba),
յունք,,Alternative form of յօնք (yōnkʿ),
յօնք,,"eyebrows, 1578 – 1632, Movsēs Tatʿewacʿi, Ołb i mahn",
նալ,,horseshoe,
Նամէ,,A male given name,
նարտ,,"backgammon, խաղալ ի նարտ ― xałal i nart ― to play at",
նեխուր,,"celery, parsley, Apium[2]",
նետ,,arrow,
նետել,,"to shoot an arrow, (by extension) to throw (any object)",
նոպայ,,"(medicine) fit, attack, paroxysm, 1184, Mxitʿar Heracʿi,",
նունուֆար,,"nenuphar, European white water lily (Nymphaea alba),",
շահէն,,peregrine falcon (Falco peregrinus),
շահին,,Alternative form of շահէն (šahēn),
շահնշահ,,shahanshah,
շաղգամ,,"turnip, Brassica rapa",
շապութ,,Alternative form of շապպութ (šapputʿ),
շապպութ,,"common carp, Cyprinus carpio, Synonym: սազան (sazan),",
շատրուան,,"fountain, 14th century, Grigor Tatʿewacʿi, Girkʿ or",
շեղբ,,blade (of a knife or weapon),
շինկղ,,"a kind of large cucumber or melon, Synonym: կօդայ (kōday),",
շիտակ,,"straight, upright",
շիտակ,,"straightly, uprightly",
շիւան,,lamentation,
շոմին,,"spinach, Spinacia oleracea, 9th or 10th century, with",
ոտն,,foot,
ոտնաման,,"footwear, shoe, 1348 – 1351, Nersēs Palianencʿ, Gawazanagirkʿ",
-ուկ,,"forming diminutives or terms expressing affection,",
-ուն,,forming adjectives,
ունետէր,,owner,
ունք,,Alternative form of յօնք (yōnkʿ),
ուպան,,"a plant whose root produces a resinous gum: laserwort,",
ուրուր,,"black kite, Milvus korschun",
-ուց,,forming nouns,
չիտ,,"sparrow, 12–13th century, Mxitʿar Goš, Aṙakkʿ [Fables]",
չիր,,dried fruit,
չորթան,,chortan (a kind of curds in the form of dried balls,
պագ,,"kiss, պագ առնուլ ― pag aṙnul ― to receive a kiss, պագ",
պագնել,,(transitive) to kiss,
պալատուր,,"the nut of Semecarpus anacardium, Synonym: անկարտիայ",
պալուտ,,"acorn, 1478 – 1492, Amirdovlatʿ Amasiacʿi, Angitacʿ",
պահրան,,"pastureland (?), 1265, Smbat Sparapet, Datastanagirkʿ",
պատինճան,,"eggplant, aubergine (Solanum melongena), eggplant,",
պատրանճպուէ,,"lemon balm, Melissa officinalis, Synonym: թուրինճխոտ",
պարոն,,"paron, baron (a title of nobility in the Armenian Kingdom",
պլոր,,testicle,
պլպուլ,,Alternative form of բլբուլ (blbul),
պնտակազմ,,"firmly formed, strong, robust, 1350 – 1425, Aṙakʿel",
պող,,fire,
պոպոկ,,"green husk on unripe walnut, Bžskaran [Various medical",
պուկ,,throat,
պուց,,vulva,
պտեր,,male fern (Aspidium filix-mas),
ջահիլ,,young; inexperienced,
ջոհար,,"precious stone, gem",
ջոհարի,,jeweller,
ջրկոտեմ,,"watercress, Nasturtium officinale[1], 1466 – 1469,",
ռազիան,,"fennel, Foeniculum vulgare[3][4][5][6]",
ռամ,,geomancy,
Սալահ,,A female given name,
սալոր,,plum,
սապոն,,soap,
սապռ,,aloe,
սատապ,,"common rue, Ruta graveolens, 1184, Mxitʿar Heracʿi,",
սատիլ,,"a kind of mushroom, 1478 – 1492, Amirdovlatʿ Amasiacʿi,",
սաքուլայ,,a kind of large headwear worn by an աբեղա (abeła) under,
սենեսկալ,,"seneschal (tite in the Armenian Kingdom of Cilicia),",
սին,,"rowan, Sorbus, Bžskaran [Various medical works from",
Սմբատ,,"A male given name, 1280, Inscription (Tombstone 3 in",
Սմպատ,,"A male given name, 1280, Inscription (Tombstone 3 in",
սոնիճ,,"black cumin, Nigella sativa",
սպանախ,,"spinach (plant of the genus Spinacia), Synonyms: շոմին",
ստեպղին,,"carrot (Daucus carota), վայրի ստեպղին ― vayri stepłin",
վառեկ,,"pullet, chick, 1184, Mxitʿar Heracʿi, J̌ermancʿ mxitʿarutʿiwn",
վարդպետ,,"(ecclesiastical) vardapet, teacher, skilled craftsman",
վարպետ,,"doctor, teacher, tutor",
վարպետ,,"skillful, masterful",
վեղար,,"veghar, Synonym: կնգուղ (knguł)",
վռազ,,"in a hurry, hastily, quickly",
տարեխ,,"tarek, pearl mullet, Van fish, Alburnus tarichi (especially",
Տարսայիճ,,"A male given name, Tarsayich, 13th century?, Inscription",
տաւար,,cattle,
տոլի,,"vine, (medicine) varix; varicosis",
