L2_orth,L2_ipa,L2_gloss,L2_etym
saku,,Latin spelling of ᓴᑯ (saku),
savik,,Latin spelling of ᓴᕕᒃ (savik),
Sikusi,,"An ice worm that can melt an igloo, found in Inuit mythology.[1]",
sila,,Latin spelling of ᓯᓚ (sila),
silami,,outside,
sinaa,,Latin spelling of ᓯᓈ (sinaa),
sipiniq,,Latin spelling of ᓯᐱᓂᖅ (sipiniq),
siqiniq,,Latin spelling of ᓯᕿᓂᖅ (siqiniq),
siut,,Latin spelling of ᓯᐅᑦ (siut),
sunagaq,,Latin spelling of ᓱᓇᒐᖅ (sunagaq),
tallu,,Latin spelling of ᑕᓪᓗ (tallu),
tariuq,,Latin spelling of ᑕᕆᐅᖅ (tariuq),
tasiq,,Latin spelling of ᑕᓯᖅ (tasiq),
tavva,,here,
tikiq,,Latin spelling of ᑎᑭᖅ (tikiq),
titiraut,,Latin spelling of ᑎᑎᕋᐅᑦ (titiraut),
Tootoo,,A  surname​.,
tuktu,,Latin spelling of ᑐᒃᑐ (tuktu),
tuugaalik,,Latin spelling of ᑑᒑᓕᒃ (tuugaalik),
tuugaaq,,Latin spelling of ᑑᒑᖅ (tuugaaq),
tuvaq,,Latin spelling of ᑐᕙᖅ (tuvaq),
ukiuq,,Latin spelling of ᐅᑭᐅᖅ (ukiuq),
ukpiq,,an Arctic owl,
ullumi,,Latin spelling of ᐅᓪᓗᒥ (ullumi),
ullumi,,Latin spelling of ᐅᓪᓗᒥ (ullumi),
ulu,,Latin spelling of ᐅᓗ (ulu),
umik,,Latin spelling of ᐅᒥᒃ (umik),
unaaq,,Latin spelling of ᐅᓈᖅ (unaaq),
unnuq,,Latin spelling of ᐅᓐᓄᖅ (unnuq),
upirnqaaq,,Latin spelling of ᐅᐱᕐᓐᖄᖅ (upirnqaaq),
uqaujaq,,leaf (of a tree),
uqausiq,,Latin spelling of ᐅᖃᐅᓯᖅ (uqausiq),
uqsuq,,Latin spelling of ᐅᖅᓱᖅ (uqsuq),
usuk,,Latin spelling of ᐅᓱᒃ (usuk),
uumajuq,,Latin spelling of ᐆᒪᔪᖅ (uumajuq),
uvaguk,,Latin spelling of ᐅᕙᒍᒃ (uvaguk),
uvagut,,Latin spelling of ᐅᕙᒍᑦ (uvagut),
uvanga,,Latin spelling of ᐅᕙᖓ (uvanga),
uviuq,,Latin spelling of ᐅᕕᐅᖅ (uviuq),
-vut,,Latin spelling of -ᕗᑦ (-vut),
ᐁᕕᖃ,,walrus,
ᐃᐦᐃᑉᕆᐅᖅᑐᖅ,/ihipɢiuqtuq/,to explore,
ᐃᐱᕋᐅᑕᖅ,,whip,
ᐃᑉᐸᒃᓴᖅ,,yesterday,
ᐃᑎᖅ,,anus,
ᐃᒃᑦᓱᐊᕐᐳᒃ,,to go outside often (to see if someone is coming),
ᐃᒡᓕᖅ,,bed,
ᐃᒡᓗ,[iɣ.ˈlu],"house, habitation",
ᐃᒥᖅ,,drinking water,
ᐃᒥᖅᑐᖅ,,to drink,
ᐃᒪᖅ,,water (in general),
ᐃᒻᒧᒃ,,milk,
ᐃᒻᒪᖄ,,perhaps,
ᐃᓄᒃ,/ˈi.nuk/,"person, man",
ᐃᓄᒃᑎᑐᑦ,,This term needs a translation to English. Please help,
ᐃᓄᒃᑎᑐᑦ,,"Inuktitut (the language of the Inuit people), Synonym:",
ᐃᓄᒃᓱᒃ,,to act in the capacity of a human,
ᐃᓄᒃᓱᒃ,,inukshuk,
ᐃᓄᖅ,,Alternative spelling of ᐃᓄᒃ (inuk),
ᐃᓕᔅᓯ,,"plural of ᐃᕝᕕᑦ (ivvit), you all",
ᐃᓗ,,cave,
ᐃᓪᓗ,,house,
ᐃᓯᐱᕋᓐᑐ,,Esperanto,
ᐃᓴᕈᖅ,,wing,
ᐃᔨ,,(anatomy) eye,
ᐃᕐᒥᐅᑦ,,soap,
ᐃᕐᓂᖅ,,son,
ᐃᕝᕕᑦ,,you,
ᐃᖃᓗᐃᑦ,,"Iqaluit (the capital city of Nunavut, Canada)
Synonym: Iqaluit",
ᐃᖃᓗᐃᑦ,,"plural of ᐃᖃᓗᒃ (iqaluk)
Synonym: iqaluit",
ᐃᖃᓗᒃ,,fish; salmon or trout.,
ᐄ,,yes,
ᐅᐃᒃ,,husband,
ᐅᐃᕖᑎᑐᓪᓗ,,French (language),
ᐅᐱᕐᓐᖄᖅ,,"spring, early summer",
ᐅᑭᐅᖅ,,winter,
ᐅᒃᐱᒃ,,snowy owl,
ᐅᒥᒃ,,beard,
ᐅᓈᖅ,,harpoon,
ᐅᓐᓄᖅ,,"night, evening",
ᐅᓗ,,a woman's half-moon-shaped knife,
ᐅᓪᓗᒥ,,today,
ᐅᓪᓗᒥ,,today,
ᐅᓪᓗᕆᐊᖅ,/ul.lu.ʁiˈaq/,star,
ᐅᓱᒃ,,penis,
ᐅᓵᐃᐅ,,Ohio,
ᐅᕕᐅᖅ,,clitoris,
ᐅᕙᒍᑦ,,"plural of ᐅᕙᖓ (uvanga); we, us",
ᐅᕙᒍᒃ,,"dual of ᐅᕙᖓ (uvanga); we, us (2 persons)",
ᐅᕙᖓ,,"me, mine",
ᐅᖃᐅᓯᖅ,,word,
ᐅᖅᓱᖅ,,"oil, blubber",
ᐆᒪᔪᖅ,,animal,
ᐆᒻᒪᑎ,,heart,
ᐊᐅᒃ,,blood,
ᐊᐅᔪᐃᑦᑐᖅ,,permafrost,
ᐊᐅᔭ,,summer,
ᐊᐱᓯᒪᔪᖅ,,snow-covered,
ᐊᐳᑦ,,snow (in general),
ᐊᑎᖅᐳᖅ,,bear,
ᐊᑖᑕ,,father,
ᐊᑖᓂ,,"underneath
Synonym: ᐊᓪᓕᖅ (alliq)",
ᐊᑭᓯᖅ,,pillow,
ᐊᒡᒐᒃ,,hand,
ᐊᒡᓘᒃᑲᖅ,,A  surname​.,
ᐊᒥᐃᐅᓕᐅᕈ,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
ᐊᒪᕈᖅ,,wolf,
ᐊᓄᕆ,,"the wind
ᐊᓄᕌᖅᑐᖅ (anuraaqtuq) - the wind blows",
ᐊᓇᐅᓪᓚᐅᑦ,,"A bat, such as a baseball bat: a stick of one of various types used in playing certain games.",
ᐊᓈᓇ,,mother,
ᐊᓗᐃᖅᑲᓇᖅ,,avalanche,
ᐊᓘᑦ,,spoon,
ᐊᓪᓕᖅ,,underneath,
ᐊᕐᓇᖅ,,woman,
ᐊᕐᕕᒃ,,whale,
ᐊᕕᙵᖅ,,lemming,
ᐊᖅᐱᒃ,,cloudberry,
ᐊᖏᖅᑲᖅᑐᖅ,,to go home,
ᐊᖑᑦ,,man,
ᐊᖑᓇᓱᒃᑐᖅ,,to hunt,
ᐊᖓᔪᖅ,,older sibling of the same sex,
ᐋᒃᑲ,,no,
ᐋᓯᕙᖅ,,spider,
ᐯᑉᐹᖅ,,paper,
ᐱ,,thing,
ᐱᓱᒃ,,"(stative) to be walking
ᐱᓱᒃᑐᖕᒐᐃᒡᓘᒧᑦ.pisuktunggaigluumut.I am walking to the igloo.",
ᐱᕈᖅᑐᓴᔭᖅ,,flower,
ᐳᐊᓘᒃ,,pair of mitts,
ᐴᐹᖅ,,amniotic sac,
ᐸᓂᖅ,,daughter,
ᐹᓯᓂᖅ,,"prepuce, foreskin",
ᑎᑎᕋᐅᑦ,,pen,
ᑎᑭᖅ,,finger,
ᑎᒥ,,body,
ᑎᕆᒐᓂᐊᖅ,,arctic fox,
ᑎᕆᒐᓐᓂᐊᖅ,,fox,
ᑎᖕᒥᐊᖅ,,bird,
ᑎᖕᒥᓲᖅ,,"aeroplane, airplane, plane",
ᑏ,,tea,
ᑐᐊᐸᑦ,,gravel,
ᑐᑐ,,A  surname​.,
ᑐᒃᑐ,,caribou,
ᑐᕙᖅ,,sea ice,
ᑑᒑᓕᒃ,,narwhal,
ᑑᒑᖅ,,ivory tusk (of a walrus for example),
ᑕᒃᑐᒃ,,fog,
ᑕᓪᓗ,,chin,
ᑕᓯᖅ,,lake,
ᑕᕆᐅᖅ,,sea,
ᑕᕝᕙ,,here,
ᑭᐊᑎ,,(anatomy) trunk,
ᑭᐊᒃᑎᓯᒪᔪᖅ,,sweat,
ᑭᓇ,,(interrogative) who (in a question),
ᑭᖓᖅ,,hill,
ᑮᓇᐅᔭᖅ,,money,
ᑮᓇᖅ,,face,
ᑰᒃ,,river,
ᑲᒥᒃ,,boot,
ᑲᓇᑕ,,Canada (a country in North America),
ᑳᐱ,,coffee,
ᑳᒃᑐᖅ,,hungry,
ᒥᓗᑦᓱᑳᒐᖅ,,tomato,
ᒪᐅᔭ,,"deep, soft snow",
ᒪᒻᒪᓛᑎᒃ,,mammal,
ᓂᐅ,,leg,
ᓂᐅᒃ,,the leg,
ᓂᐊᖁᖅ,,head,
ᓂᐊᖂᔮᖅ,,bread,
ᓂᕆᔪᖅ,,to eat,
ᓂᕿ,,food,
ᓃᖁᓗᒃᑐᖅ,,bruxism,
ᓄᑲᖅ,,younger sibling of the same sex,
ᓄᓇ,,land,
ᓄᓇᑐᑲᕗᑦ,,our ancient land,
ᓄᓇᑐᑲᕗᑦ,,Nunatukavut,
ᓄᓇᑦᓯᐊᕗᑦ,,Our beautiful land.,
ᓄᓇᑦᓯᐊᕗᑦ,,A region in Northeastern Labrador and Quebec claimed,
ᓄᓇᑦᓯᐊᕗᑦ,,A region in Northeastern Labrador and Quebec claimed,
ᓄᓇᕕᒃ,,"The northern third of the province of Quebec, Canada.",
ᓄᓇᕕᒻᒥᐅᑦ,,A person from Nunavik.,
ᓄᓇᕗᑦ,,Territory in northern Canada which has Iqaluit as its,
ᓄᓇᕗᑦ,,our land,
ᓄᓇᕗᒻᒥᐅᖅ,,A person from Nunavut.,
ᓄᓕᐊᖅ,,wife,
ᓄᔭᑦ,,head,
ᓄᖅᑲᕆᑦ,,to stop,
ᓇᓂ,,where (interrogative),
ᓇᓄᒃ,,polar bear,
ᓇᓄᖅ,,(mythology) The Master of Bears,
ᓇᓄᖅ,,polar bear,
ᓕᐅᓇ,,A female given name from English,Leona
ᓯᐅᑦ,,ear,
ᓯᐱᓂᖅ,,"intersex person, person born with ambiguous genitalia, person with genitalia which (in the Inuit belief) changed at birth",
ᓯᓈ,,the edge of a floe,
ᓯᓚ,,weather,
ᓯᓚᒥ,,outside,
ᓯᕿᓂᖅ,,sun,
ᓯᖏᕐᓂᖅ,,(anatomy) ankle,
ᓱᓇᒐᖅ,/su.naˈɣaɡ/,bullet,
ᓲᓴᓐ,,A female given name from English,Susan
ᓴᐃᒧ,,"chimo, goodbye",
ᓴᑯ,,the head of a harpoon,
ᓴᕕᒃ,,any normal-shaped knife,
ᔪᐊᑕᓐ,,"A male given name from English, equivalent to English",Jordan
ᔭᓐᓄᐊᓕ,,January,
-ᕗᑦ,,we (non-specific plural verb suffix); becomes -ᐳᑦ after consonant,
ᕴ,,"(Nunavik) Letter of the Inuktitut syllabary, transcribed as hai.",
ᕵ,,"(Nunavik) Letter of the Inuktitut syllabary, transcribed as hi.",
ᕶ,,"(Nunavik) Letter of the Inuktitut syllabary, transcribed as hii.",
ᕷ,,"(Nunavik) Letter of the Inuktitut syllabary, transcribed as hu.",
ᕸ,,"(Nunavik) Letter of the Inuktitut syllabary, transcribed as huu.",
ᕹ,,"(Nunavik) Letter of the Inuktitut syllabary, transcribed as ha.",
ᕺ,,"(Nunavik) Letter of the Inuktitut syllabary, transcribed as haa.",
ᕺᑭ,,"(Nunavik) ice hockey, (Nunavik) hockey",hockey
ᕻ,,"(Nunavik) Letter of the Inuktitut syllabary, transcribed as h.",
ᕼ,,"Letter of the Inuktitut syllabary, transcribed as h.",
ᕼᐊᓐᑕ,,A male given name from English,Hunter
ᕼᐋᑭ,,"ice hockey, hockey",hockey
ᕾ,,"Letter of the Inuktitut syllabary, transcribed as qaai.",
ᕿ,,"Letter of the Inuktitut syllabary, transcribed as qi.",
ᕿᒃᑐᕆᐊᖅ,,mosquito,
ᕿᒃᑐᕆᐊᖅᑕᐅᓂᖅ,,mosquito bite,
ᕿᒻᒥᒃ,,"dog, generally a husky",
ᕿᒻᒧᒃᓯᑦ,,team of husky dogs,
ᕿᓚᓗᒐᖅ,,A beluga whale.,
ᕿᓯᒃ,,sealskin,
ᕿᖓᖅ,,nose,
ᖀ,,"Letter of the Inuktitut syllabary, transcribed as qii.",
ᖁ,,"Letter of the Inuktitut syllabary, transcribed as qu.",
ᖁᑭᐅᑦ,,"gun, rifle",
ᖁᓕᖏᓗᐊᖅᑐᑦ,,nine,
ᖁᔭᓐᓇᒦᒃ,,thank you,
ᖂ,,"Letter of the Inuktitut syllabary, transcribed as quu.",
ᖃ,,"Letter of the Inuktitut syllabary, transcribed as qa.",
ᖃᐅᒃᐸᑦ,,tomorrow,
ᖃᐅᓯᖅᑐᖅ,,wet,
ᖃᐅᔨᒪᓂᑐᖃᖏᑦ,,traditional knowledge,
ᖃᐅᔨᒪᔭᑐᖃᖏᑦ,,traditional knowledge,
ᖃᒧᑏᒃ,,sled,
ᖃᓂᖅ,,mouth,
ᖃᓪᓗᓈᖅ,,"white, European, not Inuit
ᑭᓯᐊᓂᓕ ᖃᓪᓗᓈᖅ ᐅᖃᕐᓂᖅᐸᑦ ᐃᒫᒃ ᐃᓄᕈᓗᐃᑦ, ᐃᓄᒃ ᐊᑲᖅᓴᕋᔭᙱᓚᖅ. Kisianili qallunaaq uqarniqpat imaak inuruluit, inuk akaqsarajanngilaq.
But if a white man says inuruluit, Inuit person will be offended. (Hansard of Nunavut. Source n° 20010328).",
ᖃᔭᖅ,/qaˈjaʁk/,kayak,
ᖃᖅᑲᖅ,,"Qaqqaq: A  surname​.
Synonym: Qaqqaq",
ᖃᖅᑲᖅ,,"mountain
Synonym: qaqqaq",
ᖃᖓ,,when,
ᖃᖓᑕ,,(transitive) to raise in the air,
ᖃᖓᑕᓲᖅ,,airplane,
ᖄ,,"Letter of the Inuktitut syllabary, transcribed as qaa.",
ᖄᓐᕿᔭᐅᑦ,,paring knife,
ᖅ,,"Letter of the Inuktitut syllabary, transcribed as q.",
ᖎ,,"Letter of the Inuktitut syllabary, transcribed as ngaai.",
ᖏ,,"Letter of the Inuktitut syllabary, transcribed as ngi.",
ᖐ,,"Letter of the Inuktitut syllabary, transcribed as ngii.",
