L2_orth,L2_ipa,L2_gloss,L2_etym
amu,,spider,
aya,,"woman, female",
ačih,,"(native, indigenous) person; Xincan",
eela,,tongue,
epelʼe,/epɐlʼe/,fear,
hupʼi,,to fondle,
hura,,armadillo,
hurʼu,,turkey,
itʼul,,flea or tick,
koy,,horse,
kunu,,buy,
murʼus,,flower bud,
ošewʼe,/oʃɐwʼe/,scraping and washing of a pot,
pahu,,wax,
pʼotʼos,,lung,
tʼulis,,a nude,
wap,,foot,
