L2_orth,L2_ipa,L2_gloss,L2_etym
amu,,I first-person singular pronoun,
aua,,"water, 1957, Rvd. P. Natalio Barrena, Gramatica Annobonesa,",
gatu,,cat,
gavu,,good,
me,,mother,
nge,,person,
ntela,,star,
paatu,,plate,
pe,,father,
piska,,fish,
tabaku,,tobacco,
tela,,land,
