L2_orth,L2_ipa,L2_gloss,L2_etym
parakurong,,hairdresser,
parasaka,,climber,
pito,,seven,
saging,,banana,
sagop,,dam,
saksi,,witness,
salabat,,ginger tea,
salapi,,fifty centavo,
siyam,,nine,
tadyaw,,clay jar (smaller than a banga),
talinga,,ear,
tapayan,,clay jar (smaller than a banga),
tibod,,clay jug; large clay jar,
timog,,north,
topasyo,,topaz,
trigo,,wheat,
tubig,,water,
tulo,,three,
uban,,grey hair,
unom,,six,
upat,,four,
uripon,,slave,
usad,,one,
utok,,(anatomy) brain,
uway,,rattan,
uyang,,scorpion,
walo,,eight,
wasay,,axe,
wati,,earthworm,
yakal,,yakal (Shorea astylosa),
yam-id,,scorn,
yaman,,wealth; treasure; riches,
yamit,,clothes; clothing; garment,
yamyam,,nightmare,
yana,,now; today,
yarda,,yard (distance),yard
yatot,,mouse,
yawa,,devil; evil spirit; demon,
yaya,,nursemaid; babysitter,
yelo,,ice,
yubit,,criticism (usually destructive),
yudo,,rotten fish,
yudyod,,act or manner of dragging or pulling,
yuga-yuga,,sarcastic ridicule,
yugo,,yoke,
yugyog,,act or manner of shaking,
yuko,,act of bowing the head,
yumok,,smoothness; tenderness; softness,
yungka,,drowsy; tired; sleepy,
yuyo,,yo-yo,
