L2_orth,L2_ipa,L2_gloss,L2_etym
tɪma꞉na,,tomorrow,
uktə,,nit,
ukun,,breast,
ukʃin,,"boil, carbuncle",
ulbuʃt-,,to bathe,
ulgulu,,language,
ulkəkən,,boy,
ultəkə,,hole,
ulə,,flesh,
uləptən,,ash,
umukʃu,,ice,
umuruk,,nest,
una꞉dʒɪ,,young woman,
una꞉dʒɪkan,,girl,
urgə,,heavy,
urkitʃɛn,,squirrel,
urkə,,door,
uru꞉n,,thumb,
urə,,"mountain, hill",
utə,,child,
uyuk,,womb,
uyumə꞉-,,to marry,
uyə,,"wound, sore",
uyə-,,to marry,
uyəpdilə,,"married, wedded",
uɲaka꞉n,,finger,
uɲə,,jaw,
wargi,,salty,
wa꞉-,,to kill,
wa꞉ldɪ-,,to fight,
wa꞉ldɪn,,"war, fight, battle, conflict",
wudʒa꞉,,footprint,
wukə,,weapon,
wulə꞉wun,,"horn, trumpet",
wurumkun,,short,
wʊlapkʊn,,wet,
yalbarin,,white,
yoldo,,lean,
yɔpkɔn,,valley,
yɔʃku,,lock,
yəyin,,nine,
yɛla,,charcoal,
yɛ꞉ʃa,,eye,
ŋa꞉la,,"arm, hand",
ŋinaɣɪn,,dog,
ŋunum,,long,
ŋɔɲaki꞉,,goose,
ŋətʃin,,similar,
ɔgtɔ,,medicine,
ɔktɔ,,"road, way",
ɔlan,,grey,
ɔlgɔkin,,dry,
ɔlgɔ꞉-,,to dry,
ɔlɔ,,fish,
ɔmkɔtɔ,,forehead,
ɔmɔlɛ,,grandchild,
ɔrki-,,to prick,
ɔrɔ,,bed,
ɔrɔn,,"reindeer, caribou",
ɔŋɔktɔ,,nose,
ɔʃtɔl,,table,
ɔʃɪkta,,star,
ɔ꞉nɪ,,armpit,
ɔ꞉ŋmakta,,owl,
əbərə,,weak,
ədin,,wind,
əgdəŋə,,big,
əkikʃə,,"scale (of fish, reptiles)",
əku,,hot,
əkunən,,sister,
əlkə,,slow,
əmukən,,alone,
əmun,,lip,
ənin,,mother,
ənuk,,disease,
ənuku,,"sick, ill",
ənəlgə,,lazy,
ənəyi,,today,
ərdə,,morning,
ərdə,,early,
ərgidə,,bag,
əri꞉-,,to breathe,
ərpə,,wide,
ərəki,,frog,
ətirkən,,husband,
ətirkə꞉n,,bear,
əyə-,,to drown,
əyə꞉n-,,to flow,
əŋŋəl,,wide,
əŋŋən,,knee,
əɲəkə,,aunt,
ɛɲira,,step-mother,
ɲakʃa,,pus,
ɲalmakta,,mosquito,
ɲama꞉dʒɪ,,hundred,
ɲandʒa,,"flower, blossom",
ɲiwurə,,fever,
ɲiŋtə,,heel of foot,
ɲoɲoɣo,,bear,
ɲumu,,"calm, still, peaceful",
ɲuŋun,,six,
ɲuŋɲakɪ,,goose,
ɲɔkɔn,,"colt, foal",
ɲɛ꞉ʃin-,,"to perspire, sweat",
ɲɪray,,"man, male",
ɲɪray,,"male, masculine",
ɲɪrayɪkan,,young man,
ʃagdɪ,,old,
ʃaramʊkta,,eyelash,
ʃarbakta,,finger,
ʃawʊn,,elephant,
ʃawɪ,,shoe,
ʃaŋŋan,,smoke,
ʃigdəmki,,island,
ʃikʃə,,evening,
ʃilgin-,,to shiver,
ʃiləkʃə,,dew,
ʃiləmkun,,small,
ʃimki-,,to cough,
ʃinko,,darkness,
ʃinmun,,"shade, shadow",
ʃirgi,,sand,
ʃiwar,,"swamp, marsh, bog",
ʃiwun,,sun,
ʃi꞉,,you (singular) (second-person singular nominative),
ʃi꞉-,,to extinguish,
ʃukə,,axe,
ʃuptʃu,,feather,
ʃuŋku,,comb,
ʃuʃikun,,"grasshopper, cricket",
ʃuʃə,,bamboo,
ʃɔgdɔnɔ,,back (part of body),
ʃəbgin,,steam,
ʃəlbɛ,,fin,
ʃələ,,iron,
ʃələmi,,sword,
ʃərə-,,to wake up (intransitive),
ʃəwurə,,pubic hair,
ʃə꞉kʃə,,blood,
ʃə꞉run,,rainbow,
ʃɛnɲə,,gill,
ʃɛ꞉muki,,molar tooth,
ʃɛ꞉n,,ear,
ʃʊra,,flea,
ʃʊŋta,,deep,
ʃɪlgʊn,,awl,
ʃɪlʊkta,,"intestines, gut",
ʃɪlɪmkʊm,,narrow,
ʃɪŋarɪn,,yellow,
ʃɪ꞉la,,blue,
ʊg-,,to ride (a horse),
ʊgtʃika,,"tilted, slanted",
ʊkɪ꞉-,,to scratch,
ʊla꞉rɪn,,red,
ʊlgɛn,,"pig, swine",
ʊlgɛr,,whirlpool,
ʊra-,,to cure,
ʊrʊmŋa,,earwax,
ʊrʊ꞉n,,hoof,
ʊtaldʒa꞉-,,to shine,
ʊta꞉tʃi,,old man,
ʊtʊn,,itch,
ʊyan,,soft,
ʊŋɪkta,,"vein, artery, blood vessel",
ʊʃɪkta,,fingernail,
ɪlan,,three,
ɪla꞉n,,"light, lightness",
ɪlɪkʃa,,"snot, nasal mucus",
ɪmana,,snow,
ɪʃakɪ,,shoulder blade,
