L2_orth,L2_ipa,L2_gloss,L2_etym
A,,"The thirty-second letter of the Brahui alphabet, written in the Latin script.",
اهین,,iron,
او,,he,
ای,,I,
تیل,,scorpion,
جاز,,ship,
جمر,,cloud,
جنگ,,war,
خراس,,bull,
خیسُن,,reddish; golden,
دریاب,,river,
دیر,,water,
دیوال,,wall,
قانون,,law,
نن,,we,
نی,,you (singular),
پال,,milk,
پو,,worm,
کری,,black,
کچک,,dog,
ڷ,/elo ɬ/,The thirty-fifth and the last letter of the Brahui Arabic alphabet. Its name is elo l and it has the sound of ɬ It is preceded by ں‎.,
