L2_orth,L2_ipa,L2_gloss,L2_etym
Breizhiz,/ˈbrɛj.zis/,Bretons (persons from Brittany),
bremaik,,soon,
bremañ,/ˈbʁe.mɑ̃/,now,
breur,/ˈbrøːr/,brother,
Brevala,,A female given name,
Brevalaer,,A male given name,
brezel,,war,
brezhon,/bʁe.ˈzɔ̃ː.n/,Breton,
Brezhon,/bʁe.ˈzɔ̃ː.n/,"Breton (person from Brittany), A (historical) Briton:",
brezhoneg,[bʁəˈzɔ̃ːnɛk],the Breton language,
brezhoneger,,Breton-speaker,
brezhonek,/bre.ˈzɔ̃ː.nek/,Breton (concerning the Breton language),
brezoneg,,Skolveurieg spelling of brezhoneg,
brezoneg,,Skolveurieg spelling of brezhonek,
bro,,country (-side),
Bro-C'hall,,France,
broad,,person from a country,
broad,,nation,
broadel,,national,
broc'h,/ˈbʁoːx/,badger,
broust-barv,/brustˈbɑːro/,shaving brush,
broust-dent,,toothbrush,
bruderezh,,publicity,
brug,,heather,
Brusel,,Brussels (the capital city of Belgium),
bual,/ˈbyːal/,buffalo,
bugel,,child,
buhez,/by.ɛ/,life,
Bukarest,,Bucharest (the capital city of Romania),
buoc'h,/ˈbɥoːχ/,cow,
burev,,"bureau, office",
Burundi,,Burundi,
buz,,victory,
buzhug,/ˈbyː.zyk/,earthworms,
buzhugenn,/by.ˈzyː.ɡɛn/,singulative of buzhug (“earthworms”),
béd,,Skolveureg spelling of bed,
C'h,,The fourth letter of the Breton alphabet.,
c'h,,"The fourth letter of the Breton alphabet, written in the Latin script.",
c'hoar,,sister,
c'hoari,,to play,
c'hwec'h,/ˈxwɛx/,six,
C'hwevrer,/ˈxwe.vrɛr/,February,
c'hwezek,,sixteen,
c'hwi,/χwi/,you (plural),
cac'h,,shit,
carein,/karˈəiɲ/,(Gwened) Alternative form of karout,
Cathell,,"Obsolete spelling of Katell
Buhez an itron sanctes Cathell, 1576",
chañs,,chance,
chekenn,,cheque,
choaz,,(transitive) to choose,
chokolad,,chocolate,
chom,,"(intransitive) to stay, Antonym: mont kuit",
da,,"to, An den a zo aet da Vreizh. ― The man went to Brittany.",
