L2_orth,L2_ipa,L2_gloss,L2_etym
𐤀𐤁,,father,
𐤀𐤋𐤌,,god,
𐤁𐤍,,son,
𐤌𐤋𐤊,,king,
𐤌𐤋𐤊,,Moloch,
𐤌𐤋𐤊,,Moloch,
𐤌𐤋𐤊𐤌,,Moloch,
𐤏𐤌𐤅𐤍,,Ammon,
𐤏𐤌𐤍,,Ammon,
𐤓𐤁𐤌,,great,
