L2_orth,L2_ipa,L2_gloss,L2_etym
benh,,lake,
dankaał,,cloudberry (fruit),
dankàał,,cloudberry (fruit),
Deenadhee,/diˈnæði/,Denali (mountain),
Deenadheet,/diˈnæðid/,Alternative form of Deenadhee,
dena,,man,
gwx,,rabbit,
tenh,,ice,
tr'axa,,woman,
ts'eba,,spruce,
tu,,water,
xwtl,,sled,
xwx,,Canada goose,
yo,,sky,
