ID,Form,IPA,Gloss,Language_ID
132,jungnú,/d͡ʑuŋ.nu/,student,0
133,jáng,/d͡ʑaŋ˥/,(intransitive)  to work,0
134,jínghpo,/d͡ʑiŋ.pʰo/,Jingpho (people),0
135,jít,/d͡ʑit/,"classifier for round and small objects, like a seed or an eye",0
136,jòyo,/d͡ʑo.jo/,place,0
137,jú,/d͡ʑu/,to reach,0
138,kayt,/kaɪ̯t/,put,0
139,kouk,/kowk/,cup,0
140,koyt,/koi̯t˧/,(transitive) to do,0
141,kyam,/kjam/,to build,0
142,kyang,/kjaŋ/,basket,0
143,kyuk,/kjuk/,to scare,0
144,kyáng,/kjaŋ˥/,thin,0
145,kyó,/kjo/,to announce,0
146,káng,/kaŋ/,(intransitive) to separate,0
147,ké,/ke/,to put on,0
148,kōo,/ko.o/,"about, approximately",0
149,labayn,/la.bajn/,Sunday,0
150,lachit,/la.t͡ʃʰit/,Lacid (people),0
151,Lahi,/la.hi/,China (a country in Asia),0
152,lahkóyt,/la.kʰoɪ̯t/,dog,0
153,lamung,/la.muŋ/,mango tree,0
154,lang,/laŋ/,"Classifier for big moving objects, like a river.",0
155,lay,/laɪ̯/,through,0
156,lay,/laɪ̯/,to pass,0
157,lit,/lit/,air,0
158,lo,/lo˧/,(intransitive) to come,0
159,loem,/løm/,warm,0
160,loem,/løm/,believe,0
161,loung,/lou̯ŋ˧/,hot,0
162,lung,/luŋ/,to force someone to put (something inside something),0
163,lámmó,/lam.mo/,"moon, month",0
164,láng,/laŋ˥/,(intransitive) to wait,0
165,láng,/laŋ˥/,"if, Nyang gyo láng ngo yi hga. ― If he allows it, I",0
166,lò,/lo˩/,hand,0
167,ló,/lo˥/,(intransitive) to go,0
168,løng,/lɨŋ/,to slip,0
169,m,/m/,five,0
170,Mandale,/man.da.le/,Mandalay (a city in Myanmar),0
171,mauhkung,/maw.kʰuŋ/,sky,0
172,mi,/mi/,four,0
173,mjóshò,/mjo.ɕo/,many,0
174,modo,/mo.do/,car,0
175,mouksóuk,/mowk.sowk/,book,0
176,moyn,/moɪ̯n/,"ten thousand (10,000)",0
177,mu,/mu/,to happen,0
178,myang,[mjaŋ],to see,0
179,myap,/mjap/,"fast, quick",0
180,myegong,/mje.ɡoŋ/,"earth, soil",0
181,myi,[mji],mother,0
182,myit,/mjit/,mind,0
183,Myitkyina,/mjit.kji.na/,"Myitkyina (a town in Kachin State, Myanmar)",0
184,máng,/maŋ˥/,gong,0
185,mó,/mo/,work,0
186,n,/n/,OK,0
187,nam,/nam/,near,0
188,nang,/naŋ/,"thou, you (singular)",0
189,nanú,/nanu/,"ye, you (plural), your (plural)",0
190,napkyoq,/nap.kjoʔ/,morning,0
191,napyonyít,/nap.jo.ɲit/,tomorrow,0
192,nau,/naw/,to want,0
193,ngap,/ŋap/,to read,0
194,ngau,[ŋaw],to cry,0
195,nge,/ŋe/,"small, little",0
196,ngo,/ŋo/,I,0
197,ngonú,/ŋo.nu/,"we, us (inclusive)",0
198,ngouk,/ŋowk/,Alternative form of ngau,0
199,ngoyt,/ŋoɪ̯t/,to be,0
200,ngu,/ŋu/,Alternative form of ngo,0
201,ngá,/ŋa/,my,0
202,ngádzóem,/ŋa.dzøm/,"we two (dual exclusive), our (dual exclusive)",0
203,ngáfó,/ŋa.fo/,"we (exclusive), our (exclusive)",0
204,ngámo,/ŋa.mo/,"we (exclusive), our (exclusive)",0
205,ngáng,/ŋaŋ˥/,protruded tooth,0
206,ngé,/ŋe/,hot,0
207,ngí,/ŋi/,Alternative form of ngé,0
208,nunghtàng,/nuŋ.tʰaŋ/,behind the back of,0
209,nya,/ɲaː/,"his, her",0
210,nyang,/ɲaŋ/,"he, him",0
211,nyanú,/ɲa.nu/,"they, their",0
212,nyet,/ɲet/,seven,0
213,nyit,/ɲit/,to live,0
214,nyáng,/ɲaŋ˥/,even,0
215,nyǿng,/ɲɨŋ/,well,0
216,ná,/na/,"thy, your (singular)",0
217,náng,/naŋ˥/,pain around the thigh,0
218,né,/ne/,"thy, your (singular)",0
219,nédzóem,/ne.dzøm/,"you (dual), your (dual)",0
220,néfó,/ne.fo/,"ye, you (plural), your (plural)",0
