L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
fil,/fɪl/,elephant,,
gyrg,/ɡyɾɡ/,wolf,,
hovo,/hovo/,air,,
muş,/muʃ/,"mouse, rat",,
qəçele,/ɢædʒɛlɛ/,magpie,,
syrx,/syɾχ/,gold,,
бэгъ,/bæɢ/,frog,,
гуьрг,/ɡyɾɡ/,wolf,,
гъэжеле,/ɢædʒɛlɛ/,magpie,,
гьово,/hovo/,air,,
гӀэсб,/ʕæsb/,horse,,
леглег,/lɛɡlɛɡ/,stork,,
муш,/muʃ/,"mouse, rat",,
суьрх,/syɾχ/,gold,,
фил,/fɪl/,elephant,,
хуьрс,/χyɾs/,bear,,
хьэфд,/ħæfd/,seven,*haptá,ˈæstɚɹˌɪsk hˈæpt
גאורג,/ɡyɾɡ/,wolf,,
האָבאָ,/hovo/,air,,
מאוּש,/muʃ/,"mouse, rat",,
סאורכ,/syɾχ/,gold,,
קאז׳אילאי,/ɢædʒɛlɛ/,magpie,,
