L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
פלסטין,/pælæstˤin/,"Hebrew spelling of ܦܠܣܛܝܢ‎‎ (palasṭīn, “Palestine”)",,
קפלאון,/qepaleʔon/,"Hebrew spelling of ܩܦܠܐܘܢ‎ (qeppalleʾōn, “chapter”)",,
ܐ,[ʔɑlaf],"aleph, first letter of the Syriac alphabet",,
ܐ,[ʔɑlaf],number one (1),,
ܐܐܪ,[ˈʔɑ.ʔar],"air, breeze, (figuratively) look, appearance, sight;",,
ܐܒܓܕ,[ˈʔab.ɡad],"(orthography) alphabet, abjad",,
ܐܒܕܢܐ,[ʔavdɑnɑ(ʔ)],"ruin, destruction, annihilation, perdition, loss, end",,
ܐܒܘܒܐ,[ʔabˈbu.vɑ],"reed, flute, pipe, tube, channel, canal",,
ܐܒܝܕܘܬܐ,[ʔăviðuθɑ(ʔ)],"loss, abandonment, perversity, depravity, (with first",,
ܐܒܟܐ,[ʔɑˈvak.kɑ],"cock, rooster",,
ܐܒܠܬܐ,[ʔɛbˈbal.tɑ],"herd, file of camels",,
ܐܒܢܘܣܐ,[ʔavˈnu.sɑ],ebony (tree and wood),,
ܐܒܩܐ,[ʔavqɑ(ʔ)],"dust, powder, fine sand",,
ܐܒܪܗܡ,[ʔav.rɑˈhɑm],"(biblical) Abraham, Peshitta, Genesis 17:5:, ‏ܘܠܐ ܢܬܩܪܐ",,
ܐܓܘܢܐ,[ʔaɡɡonɑ(ʔ)],"assembly, crowd, contest, competition, wrestling, match,",,
ܐܓܘܢܝܣܛܐ,[ʔaɡɡonistˤɑ(ʔ)],"combatant, rival, wrestler",,
ܐܓܘܪܣܐ,[ʔɑɣorsɑ(ʔ)],"field, land, farm, estate, country house, second home,",,
ܐܓܝܪܐ,[ʔăˈɣi.rɑ],"hired worker, workman, hireling, employee, servant,",,
ܐܓܡܐ,[ˈʔɛɣ.mɑ],"swamp, marsh, meadow, pool, standing water, Peshitta,",,
ܐܓܢܐ,[ʔaɡɡɑnɑ],"jug, pitcher, waterpot, bowl, base, bottom (of a vessel),",,
ܐܓܪܬܐ,[ʔɛɡɡar(ə)θɑ],"letter, epistle, contract, document",,
ܐܕܡܬܐ,[ʔɑðam(ə)θɑ(ʔ)],"earth, soil, dust, ground, land, starch",,
ܐܕܢܐ,[ˈʔɛð.nɑ],"(anatomy) ear, Peshitta, Matthew 11:15:, ‏ܡܢ ܕܐܝܬ ܠܗ",,
ܐܕܫܐ,[ʔɑðʃɑ(ʔ)],"form, sort, kind, genre, style, character, nature,",,
ܐܕܫܐ,[ʔɑðʃɑ(ʔ)],"negligence, indifference",,
ܐܕܫܐ,[ʔɑðʃɑ(ʔ)],"negligence, indifference",,
ܐܘܓܐ,[ˈʔaw.ɡɑ],"sumac (tree and fruit), Synonym: ܣܘܡܩܐ‎ (summāqā),",,
ܐܘܕܐ,[ʔuðɑ(ʔ)],"firebrand, stick, log",,
ܐܘܘܢܐ,[ʔaw(wə)wɑnɑ(ʔ)],"inn, lodging, (by extension) abode, habitation, dwelling,",,
ܐܘܙܢܐ,[ʔɑwzɑnɑ(ʔ)],"basin, laver (usually made of stone), (Christianity)",,
ܐܘܚܕܢܐ,[ʔuħdɑnɑ(ʔ)],"grasp, hold, power, force (of wind, sea, etc.), majesty,",,
ܐܘܝܘܬܐ,[ʔawjuθɑ(ʔ)],"harmony, community, fellowship, unity, union, accord,",,
