L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ё,/jo/,"The seventh letter of the Kyrgyz alphabet, called ё and written in the Cyrillic script.",,
ё,/jo/,The name of the Cyrillic-script letter Ё.,,
Ё,/jo/,"The seventh letter of the Kyrgyz alphabet, called ё and written in the Cyrillic script.",,
а,/ɑ/,"The first letter of the Kyrgyz alphabet, called а and written in the Cyrillic script.",,
а,/ɑ/,The name of the Cyrillic-script letter А.,,
А,/ɑ/,"The first letter of the Kyrgyz alphabet, called а and written in the Cyrillic script.",,
агарт-,/ɑˈʁɑrt/,"to whitewash, make something white, to enlighten",,
азаттык,/ɑzɑtˈtɯq/,"freedom, liberty, Synonyms: эркиндик (erkindik), боштондук",,
алиппе,/alipˈpe/,"ABC book, primer, alphabet, Synonym: алфавит (alfavit)",,
алма,/ɑlˈmɑ/,apple,,
алмурут,/ɑlmuˈrut/,pear,,
арип,/aˈrip/,"letter, Synonym: тамга (tamğa)",,
ата-мекен,/ɑtɑ meˈken/,fatherland,,
ата-мекендик,/ɑtɑ mekenˈdik/,fatherland (related to one's fatherland),,
ашкана,/ɑʃqɑnɑ/,"kitchen, canteen, cafeteria, (ethnographic) female",,
аюу,/ɑˈjuː/,bear,,
б,/b/,"The second letter of the Kyrgyz alphabet, called бе and written in the Cyrillic script.",,
Б,/b/,"The second letter of the Kyrgyz alphabet, called бе and written in the Cyrillic script.",,
Балкан,/bǎlkaːn/,the Balkans,,
барыш,/bɑˈrɯʃ/,"going, trip, Көлгө барыш ― Kölgö barış ― Trip to a",,
батир,/baˈtir/,apartment,,
баш,/bɑʃ/,head,,
бир,/bir/,one,,
бөрү,/bøˈry/,"wolf, Synonym: карышкыр (qarışqır)",,
в,/v/,"The third letter of the Kyrgyz alphabet, called ве and written in the Cyrillic script.",,
В,/v/,"The third letter of the Kyrgyz alphabet, called ве and written in the Cyrillic script.",,
г,/ɡ/,"The fourth letter of the Kyrgyz alphabet, called ге and written in the Cyrillic script.",,
Г,/ɡ/,"The fourth letter of the Kyrgyz alphabet, called ге and written in the Cyrillic script.",,
гүл,/ɡyl/,flower,,
гүлстан,/ɡylˈstɑn/,rose garden,,
д,/d/,"The fifth letter of the Kyrgyz alphabet, called де and written in the Cyrillic script.",,
Д,/d/,"The fifth letter of the Kyrgyz alphabet, called де and written in the Cyrillic script.",,
дарбыз,/dɑrˈbɯz/,"watermelon, Муздаткычта бир дарбыз бар ― Muzdatqıçta",,
дарыкана,/dɑrɯqɑˈnɑ/,pharmacy,,
деңиз,/deˈŋiz/,sea,,
деңиз,/deˈŋiz/,"sea, Деңизде балыктардын ар кандай түрлөрү жашайт ―",,
дин,/din/,religion,,
дүйнө,/dyjˈnø/,world,,
дүйшөмбү,[dyjʃœmby],Monday,,
е,/e/,"The sixth letter of the Kyrgyz alphabet, called е and written in the Cyrillic script.",,
е,/e/,The name of the Cyrillic-script letter Е.,,
Е,/e/,"The sixth letter of the Kyrgyz alphabet, called е and written in the Cyrillic script.",,
ж,/d͡ʒ/,"The eighth letter of the Kyrgyz alphabet, called же and written in the Cyrillic script.",,
Ж,/d͡ʒ/,"The eighth letter of the Kyrgyz alphabet, called же and written in the Cyrillic script.",,
жаман,[d͡ʒɑˈmɑn],bad,,
жапон,/d͡ʒɑˈpon/,"Japanese (of, from, or pertaining to Japan, the Japanese",,
жапон,/d͡ʒɑˈpon/,Japanese (by ethnicity),,
Жапония,/d͡ʒɑˈponija/,"Japan (an island country in East Asia), Эжем Жапонияда",,
жапончо,/d͡ʒɑponˈt͡ʃo/,"Japanese (language), Synonym: жапон тили (japon tili)",,
жаран,/d͡ʒɑrɑn/,"citizen, Уурулукка шектүү жаран кармалды.Uuruluqqa",,
жарандуулук,/d͡ʒɑrɑnduːluq/,"citizenship, Кош жарандуулук убадасы кайрадан талкууда.Qoş",,
жарганат,/d͡ʒɑrʁɑˈnɑt/,"bat (Chiroptera spp.), Кыргызча ""Batman"" кандай болот:",,
жең,/d͡ʒeŋ/,sleeve,,
жибек,/d͡ʒiˈbek/,silk,,
жин,/d͡ʒin/,"demon, evil spirit, genie",,
жок,[ˈd͡ʒok],"there is no, Азыр бул баракта текст жок.Azır bul baraqta",,
жол,/d͡ʒol/,"road, way",,
жумуртка,/d͡ʒumurtˈqɑ/,egg,,
заң,[zɑŋ],law,,
илим,/iˈlim/,science,,
-й,/j/,"Agglutinated after a verb stem which ends in a vowel, forming an imperfective converb",,
кагандык,/qɑʁɑnˈdɯq/,khaganate,,
-кана,/qɑnɑ/,An establishment where a specific type of products,,
кант,/qɑnt/,sugar,,
келүү,/ɟelyː/,to come,,
китепкана,/kitepqɑnɑ/,"library, Китепканада ар кандай тематикадагы жана багыттагы",,
китепканачы,/kitepqɑnɑˈt͡ʃɯ/,librarian,,
кол,/qol/,"hand, arm, Оң жана сол кол.Oñ jana sol qol.Right and",,
коон,/qoːn/,melon,,
кудай,/quˈdɑj/,"God, Кудай сактасын! ― Quday saqtasın! ― God forbid!,",,
кумурска,/qumursˈqɑ/,"ant, Кумурска кичинекей болсо да, кайраты тоо аңтарат.Qumursqa",,
кыз,/qɯz/,girl,,
кылыч,/qɯˈlɯt͡ʃ/,sword,,
кымыз,[qɯˈmɯz],koumiss,,
кыргыз,/qɯr.ɢɯz/,"a Kyrgyz (person), (attributive) Kyrgyz, кыргыз тили",,
