L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
آٹا,/ɑː.ʈɑː/,flour,,
ا,/əlif/,The first letter of the Punjabi written in the Shahmukhi script.,,
امب,/əm.bᵊ/,mango,,
انکھ,/ə.ɳə.kʰᵊ/,"self-respect, pride
Synonym: غَیرَت‎ (ġairat)",,
اٹل,/ə.ʈəlːᵊ/,"firm, steadfast, Synonym: پَکّا‎ (pakkā)",,
اک,[ɪkː˧],one,,
اکھ,/əkːʰ/,"(anatomy) the eye, sight, vision",,
بتھیرا,/bə.t̪ʰeː.ɾɑː/,"a lot, abundant
‏میْرے کوْل بَتھیْرا اے کَہَݨ واسطے۔‎‎mere kol batherā ae kahaṇ vāst̤e.I have a lot to say.",,
بولنا,/boː.lə.ɳɑː/,"to speak, say, ‏مَیْں انگریْزی نَئیں بوْلدا آں۔‎‎maiṉ",,
بوہا,/búːɑː/,"door, entrance, ‏کَمرے دا بُوْہا کھوْل دے زَرا۔‎‎kamre",,
بھائی,/pɑː˩˨.iː/,"brother, (informal) mister, sir; used to refer to any",,
بھرا,/pɾàː/,"brother, Synonym: بھائی‎ (bhāī)",,
ت,/ta/,The fourth letter of the Punjabi (Shahmukhi) abjad. It is preceded by پ and followed by ٹ,,
تولیا,"/t̪ɔː.lɪ.ɑː, t̪ɔː.ɭɪ.ɑː/","towel, ‏میْنُوْں توْلِیا دے دِیوْ‎ ― menūṉ toliyā de",,
تھک,/t̪ʰʊkːᵊ/,"spit, saliva",,
جال,"/d͡ʒɑː.ɭᵊ, d͡ʒɑː.lᵊ/","net, (figuratively) trap, ‏اوْہ آپݨے جال وِچّ ہی پَھسّ",,
جت,/d͡ʒɪt̪ːᵊ/,"victory, win, Antonym: ہار‎ (hār)",,
جوائی,/d͡ʒə.ʋɑː.iː/,son-in-law,,
حسن,/ɦʊ.sə.nᵊ/,"beauty, elegance, charm",,
خراٹا,/xə.ɾɑː.ʈɑː/,snore,,
دشمݨ,/d̪ʊʃᵊ.məɳᵊ/,"enemy, villain",,
دند,/d̪ənd̪ᵊ/,"tooth, Synonym: ڈَند‎ (ḍand)",,
دھواں,/t̪ũ̀ː.ɑ̃ː/,"smoke, ‏شَہِر توں دُھوْاں آ رِہا وے۔‎‎śahir toṉ dhūāṉ",,
دھی,/t̪ìː/,daughter,,
دیور,/d̪eː.ʋə.ɾᵊ/,"husband's younger brother, brother-in-law, Synonym:",*daHiwā́,ˈæstɚɹˌɪsk dˈɑː hˈiːwə
رب,/rəbːᵊ/,"God, Synonyms: واہِگُرُو‎ (vāhigurū), اللہ‎ (allāh)",,
ربا,/ɾəbːɑː/,"oh God!, ‏ہائے رَبّا!‎‎ ― hā'ē rabbā! ― Oh My God!",,
رت,/ɾʊt̪ːᵊ/,"season, weather",,
رولا,/ɾɔː.lɑː/,"noise, uproar",,
رکھ,/ɾʊ.kʰːᵊ/,"tree, Synonyms: دَرَخَت‎ (daraxat), رُکھڑا‎ (rukhṛā)",,
زنانی,/zə.nɑː.niː/,"wife, woman",,
ساوا,/sɑː.ʋɑː/,green-colored,,
ساوا,/sɑː.ʋɑː/,green (color),,
ساڈا,/sɑː.ɖɑː/,genitive of اَسِیں‎ (asīṉ): our,,
سرہاݨہ,/sɪɾ.ɦɑː.ɳɑ/,pillow,,
سلام,/sə.laːmə/,"salutation, greeting, (literally) peace",,
سنیہا,/sʊ.neː.ɦɑː/,"message, ‏اوْہْناں نے عَلِی نُوْں سُنیْہا بھیْجِیا۔‎‎ohnāṉ",,
سویرے,/sə.ʋeː.ɾeː/,"at dawn, early tomorrow, in the morning, Synonym: صُبَح‎",,
سٹ,/səʈːᵊ/,"injury, wound, hurt
‏اوْہ نُوْں سَٹّ لَگی اے۔‎‎oh nūṉ saṭṭ lagī ae.He's hurt himself.",,
سپ,/səpːᵊ/,snake,,
شوخا,/ʃoː.xɑː/,"clever, ‏بوْہْتا شوْخا نہ ہو۔‎‎bohtā śoxā na ho.Don't",,
شے,/ʃɛː/,"thing, object, Synonym: چِیز‎ (cīz), article",,
ص,/sə/,The twentieth consonant in Punjabi.,,
صاحب,/sɑː˦.ɦəbᵊ/,"master, owner, lord, Synonym: مالک‎ (mālak)",,
صاحب,/sɑː˦.ɦəbᵊ/,"(Sikhism) God, Guru Granth Sahib, Guru Nanak, translation",,
صحرا,/sɛɦ.ɾɑː/,desert,,
طوفان,/t̪ʊ.fɑː.nᵊ/,hurricane,,
فجر,/fə.d͡ʒə.ɾᵊ/,"morning, dawn",,
لانگھا,/lɑ́ː.ŋɡ.ɑ̀ː/,"crossing, passage, way, corridor, ‏کَرْتارپُوْر لانگھا‎‎",,
لداخ,/ləd̪ːɑː.xᵊ/,"Ladakh (a union territory of India),  disputed between",,
لوڑ,/lōɽᵊ/,"need, ‏اہدی لوڑ کی اے؟‎‎ahdī loṛ kī ae?What's the need",,
لہور,/lɔ̀ːɾᵊ/,"Lahore (a city, the provincial capital of Punjab, Pakistan)",,
لینا,/lɛːɳɑː/,to take,,
ماں,/mɑ̃ː/,"mum, mom",,
مسیت,/məsiːt̪ᵊ/,"(Islam) mosque, 1993,  Anvar ʻAlī,  Nūrī‎[1], volume",,
مل,/mʊlːᵊ/,"price; worth, Synonym: قِیمَت‎ (qīmat)",,
مون٘ھ,[mũːʱᵊ],"(anatomy) mouth, (anatomy) face, countenance, Synonyms:",,
نواں,/nə.ʋɑ̃ː/,"new, ‏ایْہہ میرا نَواں یار اے۔‎‎eh merā navāṉ yar ae.This",,
نچھ,/nɪ.t͡ʃːʰᵊ/,sneeze,,
نکما,/nɪ.kəmːɑː/,"unemployed, without work, (usually derogatory) useless,",,
نہیں,/nəiː˦/,no,,
نہیں,/nəiː˦/,"a no, nay",,
نیارا,/nɪ.jɑː.ɾɑː/,"distinct, unique",,
وئست,/ʋjəst̪ᵊ/,"busy, preoccupied, Synonym: مَصرُوف‎ (maṣrūf)",,
وار,/ʋɑːɾ/,"time, chance, occasion, ‏پَہلِی وار‎‎ ― pahlī vār ―",,
واری,/ʋɑː.ɾiː/,"(games) turn, round, chance",,
واٹ,/ʋɑː.ʈᵊ/,"journey, distance, Synonym: سَفَر‎ (safar)",,
واٹ,/ʋɑː.ʈᵊ/,watt,watt,wˈɑːt
واٹ,/ʋɑː.ʈᵊ/,watt,watt,wˈɑːt
واہگرو,/ʋɑːǽ.ɡʊ.ruː/,"(Sikhism) God, ‏واہگرو مہر کرے‎‎wahegurū mahar kareWith",,
ور,/varᵊ/,to turn,,
ورتݨ,/ʋəɾ.t̪əɳ/,"user, consumer",,
وشاݨو,/ʋɪ.ʃɑːɳuː/,virus (a type of infectious organism),,
وکھرا,/ʋə.kʰːᵊ.ɾɑː/,"seperate, distinct",,
وہوٹی,/ʋɔ.ʈiː/,"wife
Synonym: ਪਤਨੀ (patnī)",,
ویکھنا,/ʋeːkʰə.ɳɑː/,"to see, ‏مَیں اوہ نُوں نہیں ویکھ سَکدا۔‎‎ ― maiṉ avh",,
ٹ,/ʈa/,The fifth letter of the Punjabi (Shahmukhi) abjad. It is preceded by ت and followed by ث,,
ٹوٹی,/ʈuː.ʈiː/,"tap, faucet
‏ٹُوْٹِی توں پاݨی لَے کے آ‎ṭūṭī toṉ pāṇī lai ke āBring some water from the tap",,
پتر,/pʊt̪ː.əɾᵊ/,son,,
پر,/pər/,wing,,
پر,/pər/,"last, past, next",,
پر,/pər/,but,,
پر,/pər/,"last, past, next",,
پر,/pər/,but,,
پر,/pər/,but,,
پربھو,/pɾə́.bʱuː/,"lord, ‏پربھو یسوع‎prabhū yasūlord Jesus, God",,
پریت,[pɾiːt̪ᵊ],"love, amour, romance, attachment, endearment, fondness,",,
پریت,[pɾiːt̪ᵊ],"phantom, specter, apparition",,
پریت,[pɾiːt̪ᵊ],"phantom, specter, apparition",,
پنجابی,/pə̃.d͡ʒɑː.biː/,Punjabi,,
پنجابی,/pə̃.d͡ʒɑː.biː/,Punjabi (language),,
پینا,/piːɳɑː/,"to drink, to smoke",,
چپیڑ,/t͡ʃə.peːɽᵊ/,"slap, smack
Synonym: چَنْڈ‎ (canḍ)",,
چکڑ,/t͡ʃɪkː.əɽᵊ/,"mud, dirt, mire, sludge, slime",,
چھت,/t͡ʃət̪ːᵊ/,roof,,
چھیتی,/t͡ʃʰeːt̪iː/,"quick, quickly",,
کالا,/kɑːɭɑː/,"(colour) black, black, negro (potentially offensive)",,
کتیب,/kə.t̪eː.bᵊ/,"(religion, Sikhism) scripture (Particularly Abrahamic),",,
کم,/kəmːᵊ/,"work, job, task",,
کمہیار,/kʊm.ɪ.jā̀r/,potter,,
کڈھݨا,/kə.ɖə.ɳɑ/,"to remove, take out",,
گانا,/ɡaː.ɳa/,"song, ‏اے گانا بہوت وَدیا اے۔‎‎ae gānā bhot vadiya",,
گانا,/ɡaː.ɳa/,to sing,,
ہتھ,/ɦət̪ːʰᵊ/,hand,,
