L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
caune,[kaune],"marten
Elbing German-Prussian Vocabulary
Mart   Caune",,
Janwārs,/jʌnwɑːrs/,January (first month of the Gregorian calendar year),,
malnīks,/mal.niːks/,child (young human),,
mīli,/miːlɪ/,love (strong affection or romantic feelings),,
mīlin,/miːlɪn/,love (romantic feelings),,
pakwaitīsnā,/pʌkwʌɪtiːsnɑː/,lust (intense desire),,
rags,/rʌɡs/,the first month of the year; see also Janwārs,,
sunnis,/sʊnɪs/,dog,*śwṓ,ˈæstɚɹˌɪsk ˌɛsdˈʌbəljˌuː
tāws,/tɑːws/,father,,
ugnis,/ʊɡnɪs/,"fire, conflagration",,
Ukapirmas,/ʊ.kʌ.pɪr.mʌs/,"Ukapirmas, Occopirmus (Prussian sky god)",,
wūla,/wuːlʌ/,rock,,
zemman,/zæmɑːn/,underside,,
zmūnija,/zmuːnɪjʌ/,humanity,,
