L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
Akj,/ac/,"corner, angle",egke,ˈɛɡk
Akjs,/acs/,"axe, hatchet",,
Ama,/ama/,"pail, bucket",,
Angst,/aŋkst/,"fear, trepidation",,
Anka,/anka/,anchor,,
Aparat,/ɐpɐrat/,apparatus,,
Armee,/arme/,army,,
Bad,/bad/,bed (place for sleeping),bedde,bˈɛd
Bak,/bak/,"(anatomy) cheek, oven",,
Barscht,/bɑɹʃ(t)/,hairbrush,,
Baul,/bɔɫ/,"ball, sphere, globe",bal,bˈæl
Baun,/bɔun/,ban,,
Baunt,/bɔnt/,"band, cord",,
Bea,/bɔɪɐ/,beer,,
Frint,/frɪnt/,"friend, chum, pal",,
Fru,/fruː/,(Molotschna) woman,,
Joaresdach,/jɔaɾɛs.daːχ/,"anniversary (for example, of a birth)",,
Kjennich,/çɛ̯ænɪç/,king,,
Koatenspell,/kɔɐ̯təʃpɛ̯æl/,card game,,
Oabeit,/ɔɐ̯be̞t/,"work, labor",,
Plautdietsch,/plɔut.ditʃ/,Plautdietsch,,
Rikj,/rɪc/,"nation, dominion, country",,
rikj,/rɪc/,"A Nation, Dominion, or Country, KjennichrikjKingdom,",,
Schnee,/ʃnɔɪ/,snow,,
Schuflod,/ʃʉflod/,"desk drawer, drawer",,
schwoat,/ʃvɔɐ̯t/,black,swart,swˈɔː͡ɹt
sennen,[zænə(n)],"to be (to exist), to be (copula), ekj sie, dü best,",sein,sˈeɪn
Äwazeijunk,/evɐzajʊŋk/,"conviction, persuasion",,
