L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
bache,/ˈbaʃə/,tarpaulin,,
buk,/bək/,"buck, male goat, male rabbit",,
dikkels,/ˈdɪkəls/,"often (frequently, many times)",,
dikkers,/ˈdɪkərs/,Alternative form of dikkels,,
keun,[køːn],rabbit,,
keure,/ˈkøːrə/,"opportunity, choice",,
koutnansje,/kɵʔˈnɑ̃ʃə/,"conversation, talk",,
leeg,/ˈleːɦ/,lazy,,
lekstok,/lækstɔk/,lolly,,
lyste,/lɪstə/,list,,
meuzel,/ˈmøːzəl/,"bag, backpack",,
moze,/ˈmoːzə/,mud,,
muzyk,/mʏˈzɪk/,music,,
nunne,/ˈnœnə/,nun,,
rebbe,-æːbə,rib,,
recolte,/rəˈkɔltə/,harvest,,
rik,/rɛk/,back (of the body),,
ruttelienge,/ˈrətəlɪŋə/,complaints,,
rutteln,/ˈrətəln/,to complain,,
Sintekloai,/sɪntəklɒːi̯/,Saint Nicholas,,
sneukelienge,/ˈsnøːkəlɪŋə/,snacks,,
sneukeln,/ˈsnøːkəln/,to snack,,
teure,/ˈtøːrə/,"go ahead, hurry up",*hurzaną,ˈæstɚɹˌɪsk hɜːzˈɑːnə
tierlik,/ˈtiːrlɪk/,early,,
ul,/øl/,lid (top or cover of a container),,
uul,/yl/,"(birds) owl, bird of the order Strigiformes, (figuratively)",,
vloage,/ˈvlɔːɦə/,shower (rain),,
zere,/zeːrə/,"quick, fast",,
