L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
sugen,/suːɣən/,"to suck, to draw up liquid",,
supen,/suːpən/,to booze; to consume alcohol regularly or in large,,
tellen,/tellən/,"to count, to tell",tellian,tˈɛliən
uns,/ʊns/,"(personal pronoun, first person, in the plural, accusative)",,
us,/ʊs/,"(personal pronoun, dative, accusative) Alternative form of uns.",,
usik,/yːzɪk/,"(personal pronoun, dative, accusative) Alternative form of uns.",,
valsch,/falsk/,"false, wrong",,
valsch,/falsk/,"falsely, wrongly",,
valsch,/falsk/,"fraud, trickery, dishonourable intentions, forgery,",,
varwe,/farwə/,"colour, dye, look, way something looks, mark, insignia",,
vechten,/fɛxtən/,to fight,fight,fˈaɪt
versch,/fersk/,Alternative form of vrisch.,,
vlegen,/fleːɣən/,"to fly, to disperse through the air, to blow (of wind)",,
vogen,/føːɣən/,"to join, to add, to place",fōgian,fˈoʊd͡ʒən
vor-,/fɔr/,"modyfying verb-prefix, denoting amongst other things",far-,fˈɑː͡ɹ
vorgeten,/fɔrɣɪɛtən/,to forget,,
vorstan,/ˌfɔrˈstɒːn/,to understand,,
vorsupen,/ˌfɔrˈsuːpən/,"to lose one's wealth or belongings by trading for alcohol,",,
vorswinden,/ˌfɔrˈswɪndən/,"to vanish, to disappear",,
vortellen,/ˌfɔrˈtelːən/,"to tell, to narrate, to recount",,
vri,/friː/,free,,
vrie,/friːjə/,Alternative form of vrî.,,
vrig,/friːʝ-/,Alternative form of vrî.,,
vrisch,/frɪsk/,fresh,,
waren,/wɒːrən/,"to last, to endure, to vouch for, to swear an oath",,
wat,/wat/,"(interrogative, neuter) what",,
water,/ˈwaːtər/,"water, 1537,  Jürgen Richolff the Younger,  Datt högeste",,
we,/weː/,"(interrogative, masculine, feminine) who",,
we,/weː/,"(personal, first person, in the plural, nominative)",,
we,/weː/,"(personal, first person, in the plural, nominative)",,
werden,/wɛːrdən/,"to become, auxiliary verb used to form the passive",,
wes,/wɛs/,"whose, of whom (genitive of wê), whose, of what (genitive",,
wesen,/wɪɛzən/,to be,,
weten,/wɪətən/,to know (knowledge),,
wi,/wiː/,"(personal, first person singular nominative) we",,
wi,/wiː/,(interrogative) Alternative form of wê.,,
wi,/wiː/,(interrogative) Alternative form of wê.,,
wie,/wiə/,(interrogative pronoun) Alternative form of wê.,,
wolt,/wɔːlt/,"a wood, a forest",wāld,wˈɔld
wolt,/wɔːlt/,Alternative form of gewôlt.,wāld,wˈɔld
wolt,/wɔːlt/,Alternative form of gewôlt.,wāld,wˈɔld
wolteren,/wœltərən/,to roll,,
writen,/wriːtən/,"to write, to carve, to scratch",,
