L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
bont,/bont/,bridge,,
הן,/en/,in,,
הן,/en/,from there,,
הן,/en/,"from him, from her, from them",,
הן,/en/,from there,,
הן,/en/,"from him, from her, from them",,
بُشوطْرِسْ,/boˈʃo.t̪ɾos/,you (second person plural personal pronoun),,
حَبيبَة,/ħa.biː.beː/,"friend, darling",,
حَبيبِ,/ħa.biː.biː/,"friend, darling",,
سيدِ,/sa.jid/,Lord,,
شّولُ,/ˈʃulo/,know-it-all,,
فيليه,/fiˈliħ/,"son, 12th century, Yehuda Halevi:, filyo de Ben al-Dayyeni,",,
ليطه,/ˈlae̯.taħ/,happy,,
ليُ,/liˈjʊ/,"light (non heavy), ‏ليُ شوقّه طينْ بِبْراشْ‎Lew súkko",,
نوخْطِ,/ˈnox.te/,"night, ‏فينْطِ اذْ ميبِ آشْطة نوختِ‎Vente ad mibe esta",noctem,nˈɑːktəm
نونْ,/nʊːn/,not,,
نُونْ,/nʊːn/,not,,
وطْرِ,/ʊˈt̪ɾi/,"other, another, ‏يا شيِ قي وطْرِ امَشْ‎Ya sey ke ótri",,
ي,/i/,"in this place, here",,
يَنّايْرْ,/ja.naː.jir/,January,,
