L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ax̱,[ʔàχ],my,,
dlágwaa,[tɬʌ́.kʷàː],peavy,,
dléit,/t͡ɬéːtʰ/,snow,,
dléit,/t͡ɬéːtʰ/,white,,
dzántikʼ,[ˈt͡sʌ́n.ˌtʰɪkʼ],Diminutive form of dzánti,,
dáanaa,[táːnàː],"money, dollar, coin, silver",dollar,dˈɑːlɚ
déix̱,[téːχ],two,,
goosh,[kùːʃ],thumb,,
géewaa,[ˈkíː.wàː],beer,,
góon,[kʷúːn],gold,gold,ɡˈoʊld
g̱ayéis’,/qà.jéːsʼ/,iron,,
g̱ooch,[qùːt͡ʃʰ],wolf,,
g̱éechadi,[ˈqíː.ˌt͡ʃʰʌ.tɪ],windfall (tree blown over by the wind),,
héen,[híːn],"water; fresh water, river",,
hít,[hít],"house
Héen t’iká át la.áa du hídi.His house sits beside the river.",,
jín,[t͡ʃɪ́n],"hand, paw",,
kanéist,/kʰà.néːst/,cross,,
lítaa,[ɬí.tʰàː],knife,,
lítaa,[ɬí.tʰàː],ḵatltulítaa,,
sgóon,[skʷúːn],school,school,skˈuːl
shtéen,/ʃtʰíːn/,"steel, iron, Ch’aakw hél shtéen ḵustí.Long ago, there",steel,stˈiːl
sʼig̱eeḵáawu,/sʼì.qìː.qʰáː.wù/,"ghost, phantom",,
tleilóo,/t͡ɬèːɬúː/,moth; butterfly,,
tléixʼ,[tɬʰéːxʼ],one,,
tsín,[t͡sʰín],muskrat (Ondatra zibethicus),,
tás,/tʰás/,thread,,
x̱áat,[χáːt],"fish, salmon",,
íx̱t’,[ʔíχtʼ],"shaman, medicine man",,
ḵwáan,[qʰʷáːn],"clan, people, tribe",,
ḵáa,/qʰáː/,man,,
