L2_orth,L2_ipa,L2_gloss,L2_etym
rīts,ɹɪtˈɛt,"morning (time of day, roughly around sunrise; also,",ritēt
salns,sˈælnə,"(of animal, especially horse, hair) roan-colored (having",salna
saule,ˈæstɚɹˌɪsk sˈɔːl,"sun (the star at the center of the Solar System, from",*saul-
segli,sˈɛdli,"saddle (horse tack item, placed on the back of a horse",sedli
sirds,sˈɪədiz,(anatomy) heart (the central organ of the circulatory,sirdis
spārns,ˈæstɚɹˌɪsk spˈɑː͡ɹnəz,"(anatomy, of birds, insects, bats) wing (one of a pair",*sparnas
stirna,ˈæstɚɹˌɪsk ˈɛs ˈɑː͡ɹnˈɑː,"roe deer (Capreolus capreolus), stirnu āzis, stirnuāzis,",*śírˀnāˀ
stāds,ˈæstɚɹˌɪsk stˈɑːdəz,"plant, plantlet, seedling (young, usually not large",*stādas
stāvēt,ˈæstɚɹˌɪsk stˈɑː,"to stand (to be in an upright position, supported by",*stā-
stīvs,stˈɪf,"(of people, animals, their body parts) stiff, hard,",stīf
sāls,ˈæstɚɹˌɪsk sˈæl,salt (white crystalline substance — sodium chloride,*sal-
tauta,ˈæstɚɹˌɪsk tˈɔːɾə,"people, nation (historically formed group of people,",*tawtā-
tievs,ˈæstɚɹˌɪsk tˈɛnwəz,(of cylindrical objects) thin (having a relatively,*tenˀwas
vasks,ˈæstɚɹˌɪsk wˈæksə,"wax (an oily, water-resistant substance), grīdas vasks",*waksa
viens,ˈæstɚɹˌɪsk ˈaɪnoʊz,"one (the cipher, the cardinal number one), pieci un",*eynos
Vikipēdija,wˈɪkipˌɛdɪd͡ʒə,Wikipedia,Wikipēdija
vālodze,wˈɑːlæk,"oriole (various colorful birds of the family Oriolidae,",wołać
vārds,ˈæstɚɹˌɪsk wˈɔː͡ɹdəz,"name, word",*wardas
vētra,ˈæstɚɹˌɪsk wˈɛtɹə,storm (very strong wind (up to 30 m/s) which causes,*wētrā
vīns,wˈɪn,"wine (alcoholic drink made from berriess or fruit juices),",wīn
Wikipēdija,ɛnsˈɪkloʊpdˌɪd͡ʒə,Wikipedia,enciklopēdija
zelts,ˈæstɚɹˌɪsk ˈɛltəz,"gold (metallic chemical element, with atomic number",*želtas
zobs,ˈæstɚɹˌɪsk zˈiː ˈɛmbˈæs,"(anatomy) tooth (a hard, calcareous element in a structure",*źámbas
ābols,ˈæstɚɹˌɪsk ɐbˈɑːl,"apple fruit, salds, skābs, sulīgs ābols ― sweet, sour,",*āˀbōl
āmurs,hˈæmɑː͡ɹ,"hammer (tool with heavy head for pounding), koka āmurs",hamarr
čoms,t͡ʃˈʌm,"(colloquial) a male friend, a buddy, a pal, tiklīdz",chum
ērglis,ˈæstɚɹˌɪsk ɪɹˈɛl,"eagle (large carnivorous birds in fam. Accipitridae,",*er-el-
ēst,ˈæstɚɹˌɪsk ˈɛsteɪ,to eat (to take food into one's mouth in order to chew,*ēˀstei
īgt,ˈæstɚɹˌɪsk ˈɪŋ,"to be surly, sullen, angry, viņš īga, dziļi, sāpīgi",*ing-
ķiploks,kˌeɪˈɛl flˈɑːk,"garlic (herbaceous plant, sp. Allium sativum, with",klüflōk
ķēniņš,kˈeɪ nˈɪŋk,"(dated) king (the monarch of a kingdom), kungs un kēniņš",könink
šeit,ˈæstɚɹˌɪsk sˈeɪ,"here (the speaker's location at the time of speaking),",*sey-
ūdens,ˈæstɚɹˌɪsk jˈuːdən,water (transparent liquid substance formed by hydrogen,*ūden-
