L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
bailo,/ˈbaj.lo/,title and function borne by an envoy of the Most Serene,,
benvegnuo,/beŋ.veˈɲu.o/,welcome,,
benvegnuo,/beŋ.veˈɲu.o/,welcome (greeting),,
bixato,/bi.ˈza.to/,"eel, (informal) penis",,
bixo,/ˈbi.zo/,"gray, Synonym: grixo",*bysseus,ˈæstɚɹˌɪsk bˈaɪsɪəs
bixo,/ˈbi.zo/,pea,*bysseus,ˈæstɚɹˌɪsk bˈaɪsɪəs
bixo,/ˈbi.zo/,pea,*bysseus,ˈæstɚɹˌɪsk bˈaɪsɪəs
boschier,/bos.ˈkjer/,"lumberjack, woodcutter",,
boton,/boˈtoŋ/,"button, key (to be pushed or pressed), button (on clothing)",,
budin,/buˈdiŋ/,pudding,boudin,bˈuːdɪn
butiro,/buˈti.ɾo/,(chiefly uncountable) butter,,
bòsch,/bɔsk/,wood (woodland),,
can,/kaŋ/,dog,,
carega,/kaˈrɛːɡa/,chair,,
ceste,/ˈt͡ʃeste/,(Vicentine slang) that’s life!,,
cexa,/ˈtʃe.za/,church (building),,
Cexa,/ˈtʃe.za/,Church (organization),,
clase,/ˈklase/,"class (all senses), classroom",,
cocal,/ko.ˈkal/,seagull,,
det,[det],"finger, toe",,
fenocio,/feˈnɔt͡ʃo/,"fennel, (idiomatic) queer, poof, nancy boy, faggot",,
freschin,/fres.ˈkiŋ/,the smell of rotten fish and eggs,,
fum,/fum/,smoke,,
gat,/ˈɡat/,"(Belluno, Northern Treviso) cat",,
grixo,/ˈɡɾi.zo/,"grey, gray, Synonym: bixo",*gris,ˈæstɚɹˌɪsk ɡɹˈɪs
labarda,/la.ˈbar.da/,halberd (weapon),,
lach,/lak/,lake (stretch of water),,
leon,/leˈoŋ/,lion,,
magon,/mɑˈɡon/,"stomachache, strange sensation in the stomach",,
marangon,/ma.ɾaŋˈɡoŋ/,"carpenter, Synonym: (Primiero) tisler",,
marìo,/maˈri.o/,husband,,
medexina,[medeˈzina],medicine,,
muso,/ˈmu.so/,"donkey, ass, Synonym: àxeno",,
nòme,/ˈnɔme/,(grammar) noun,,
pagar,/paˈɡar/,(transitive) to pay,,
pan,/paŋ/,bread,,
piat,/pjat/,"dish, platter",,
picar,/piˈkar/,"(transitive, intransitive) to hang, dangle",,
puìna,/puˈi.na/,ricotta (Italian whey cheese),,
rèla,/ˈrɛ.la/,windrow,,
rùxene,/ˈru.ze.ne/,rusty,,
rùxene,/ˈru.ze.ne/,rust (both the substance and the color),,
sapar,/sa.ˈpar/,to hoe,,
sbrixołona,/zbɾi.zoˈɰo.na/,"A type of crumbly cake made with nuts or almonds, typical",,
sginsała,/zd͡ʒinˈsä.e̯ä/,mosquito,,
sità,/si.ˈta/,city,,
sopresar,[so.pre.ˈsar],To iron (laundry),,
sotopòrtego,/ˌsotoˈpɔrteɡo/,An alley that passes underneath a building.,,
Spagna,/ˈspa.ɲa/,Spain (a country in Europe),,
stagion,/staˈd͡ʒoŋ/,season,,
stria,/ˈstria/,Alternative form of striga,,
striga,/ˈstri.ɡa/,"witch, sorceress (female who uses magic)",,
strucar,/stɾuˈkaɾ/,"(transitive) to press, to push",,
sòrt,[ˈsɔrt],"kind, type, sort",,
sòrt,[ˈsɔrt],"fate, destiny, chance",,
sòrt,[ˈsɔrt],"fate, destiny, chance",,
tiramesù,/ˌti.ɾa.meˈsu/,tiramisù (dessert),,
traversar,/traverˈsar/,"(transitive) to cross, traverse",,
tren,/ˈtrɛŋ/,"(transport, railway) train",,
union,/uˈnjoŋ/,union,,
val,/val/,valley,,
vin,/viŋ/,wine,,
vènt,/vɛŋt/,wind (movement of atmospheric air),,
xaca,/ˈza.ka/,jacket,,
àxeno,/ˈa.ze.no/,"donkey, ass, Synonym: muso",,
èser,/ˈɛ.ser/,"(intransitive, auxiliary) to be",,
