L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
آئون,/ɑːũː/,"I, me",,
ت,/t̪e/,The fifth letter of the Sindhi abjad.,,
ث,/se/,The ninth letter of the Sindhi abjad.,,
ج,/ɟiːm/,The eleventh letter of the Sindhi abjad.,,
جھ,/ɟʱe/,The thirteenth letter of the Sindhi abjad.,,
ح,/he/,The seventeenth letter of the Sindhi abjad.,,
خ,/xe/,The eighteenth letter of the Sindhi abjad.,,
د,/dal/,The ninteenth letter of the Sindhi abjad.,,
ذ,/zal/,The twenty-fourth letter of the Sindhi abjad.,,
ر,/re/,The twenty-fifth letter of the Sindhi abjad.,,
ز,/ze/,The twenty-eighth letter of the Sindhi abjad.,,
س,/siːn/,The twenty-ninth letter of the Sindhi abjad.,,
سنڌي,/sɪndʱiː/,of or pertaining to Sindh,,
سنڌي,/sɪndʱiː/,"the Sindhi language, a Sindhi-speaking man",,
سکو,[sakʰo],friend,,
ش,/ʃiːn/,The thirtieth letter of the Sindhi abjad.,,
ص,/swaːd/,The thirty-first letter of the Sindhi abjad.,,
ض,/zwaːd/,The thirty-second letter of the Sindhi abjad.,,
ط,/t̪oːy/,The thirty-third letter of the Sindhi abjad.,,
ظ,/zwaːd/,The thirty-fourth letter of the Sindhi abjad.,,
ع,/ɛːn/,The thirty-fifth letter of the Sindhi abjad.,,
غ,/ɣɛːn/,The thirty-sixth letter of the Sindhi abjad.,,
ف,/fe/,The thirty-seventh letter of the Sindhi abjad.,,
ق,/qaf/,The thirty-ninth letter of the Sindhi abjad.,,
ل,/lam/,The forty-sixth letter of the Sindhi abjad.,,
م,/miːm/,The forty-seventh letter of the Sindhi abjad.,,
ن,/nuːn/,The forty-eighth letter of the Sindhi abjad.,,
نالو,/na.lo/,"name, ‏تُنهِنجو نالو ڇا آهي؟‎‎tuhinjo nālo chā āhe?What",,
ٺ,/ʈʰe/,The eighth letter of the Sindhi abjad.,,
ٻ,/ɓe/,The third letter of the Sindhi abjad.,,
ٻڙي,/ɓuɽiː/,zero,,
ٻہ,/ɓa/,two,,
ٽ,/ʈe/,The seventh letter of the Sindhi abjad.,,
ٽي,/ʈi/,three,,
پ,/pe/,The tenth letter of the Sindhi abjad.,,
ٿ,/tʱe/,The sixth letter of the Sindhi abjad.,,
ڀ,/bʱe/,The fourth letter of the Sindhi abjad.,,
ڃ,/ɲe/,The fourteenth letter of the Sindhi abjad.,,
ڄ,/ʄe/,"The twelfth letter of the Sindhi abjad, it is used to transcribe the Devanagari letter ॼ.",,
چ,/ce/,The fifteenth letter of the Sindhi abjad.,,
ڇ,/cʱe/,The sixteenth letter of the Sindhi abjad.,,
ڊ,/ɖal/,The twenty-second letter of the Sindhi abjad.,,
ڌ,/dʱal/,The twentieth letter of the Sindhi abjad.,,
ڍ,/ɖʱal/,The twenty-third letter of the Sindhi abjad.,,
ڏ,/ɗal/,The twenty-first letter of the Sindhi abjad.,,
ڏسڻي,/ɗəsɪɳiː/,"pointing out, forefinger (first finger next to the",,
ڙ,/ɽe/,The twenty-sixth letter of the Sindhi abjad.,,
ڙھ,/ɽʱe/,The twenty-seventh letter of the Sindhi abjad.,,
ڦ,/pʱe/,The thirty-eighth letter of the Sindhi abjad.,,
ک,/kʱaf/,The forty-first letter of the Sindhi abjad.,,
ڪ,/kaf/,The fortieth letter of the Sindhi abjad.,,
ڪمپيوٽر,/kəmpjuːʈər/,computer (a programmable device),computer,kəmpjˈuːɾɚ
گ,/ɡaf/,The forty-second letter of the Sindhi abjad.,,
گھ,/ɡʱaf/,The forty-fourth letter of the Sindhi abjad.,,
ڱ,/ŋaf/,The forty-fifth letter of the Sindhi abjad.,,
ڳ,/ɠaf/,The forty-third letter of the Sindhi abjad.,,
ڻ,/ɳuːn/,The forty-ninth letter of the Sindhi abjad.,,
नालो,/na.lo/,"name, तुहिंजो नालो छा आहे?tuhinjo nālo chā āhe?What",,
ॼ,[ʄə],"A letter in Devanagari Sindhi, it reprents the Arabic script letter ڄ.",,
