L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ޖެނުއަރީ,/dʒenuəriː/,January,January,d͡ʒˈænjuːˌɛɹi
ޗ,/tʃ/,"The twenty-fourth letter in Dhivehi, named chaviyani",,
ޗައްތީސްގަޅު,/tʃət̪ːiːs̺ɡəɭu/,Chhattisgarh (a state of India),,
ޘ,/θ/,"The twenty-fifth character in Dhivehi, named ttaa",,
ޙ,/ħ/,"The twenty-sixth letter in Dhivehi, named hhaa",,
ޙައްޖު,/hədʒːu/,hajj,,
ޚ,/x/,"The twenty-seventh letter in Dhivehi, named khaa",,
ޛ,/ð/,"The twenty-seventh letter in Dhivehi, named thaalu",,
ޜ,/ʒ/,"The twenty-eighth letter in Dhivehi, named zhaa",,
ޝ,/ʃ/,"The twenty-ninth letter in Dhivehi, named sheenu",,
ޝަހަރު,[ʃəhəɾu],"city, Synonym: ސިޓީ‎ (siṭī)",,
ޝަރީޢަތް,/ʃəriːʕət̪/,shari'a,,
ޝުކުރިއްޔާ,/ʃukuɾijːaː/,thank you,,
ޞ,/sˤ/,"The thirtieth letter in Dhivehi, named saadhu",,
ޟ,/dˤ/,"The thirty-first letter in Dhivehi, named daadhu",,
ޠ,/tˤ/,"The thirty-second letter in Dhivehi, named to",,
ޡ,/ðˤ/,"The thirty-third letter in Dhivehi, named zo",,
ޢ,/ʕ/,"The thirty-fourth letter in Dhivehi, named ainu",,
ޣ,/ɣ/,"The thirty-fifth letter in Dhivehi, named ghainu",,
ޤ,/q/,"The thirty-sixth letter in Dhivehi, named qaafu",,
ޥ,/w/,"The thirty-seventh letter in Dhivehi, named waavu",,
ަ,/ə/,"The vowel diacritic, named abafili",,
ާ,/aː/,"The vowel diacritic, named aabaafili",,
ި,/i/,"The vowel diacritic, named ibifili",,
ީ,/iː/,"The vowel diacritic, named eebeefili",,
ު,/u/,"The vowel diacritic, named uboofili",,
ޫ,/uː/,"The vowel diacritic, named ooboofili",,
ެ,/e/,"The vowel diacritic, named ebefili",,
ޭ,/eː/,"The vowel diacritic, named eybeyfili",,
ޮ,/o/,"The vowel diacritic, named obofili",,
ޯ,/oː/,"The vowel diacritic, named oaboafili",,
ޱ,/ɳ/,"The thirty-eighth letter in Dhivehi, named ṇaviyani or naa.",,
च़,[θ],Used to represent the [θ] sound in Dhivehi. [1],,
त़,[tˤ],Used to represent the [tˤ] sound in Dhivehi. [1],,
ल़,[ɫ],Used to represent the [ɫ] sound in Dhivehi. [1],,
स़,[sˤ],Used to represent the [sˤ] sound in Dhivehi. [1],,
