L2_orth,L2_ipa,L2_gloss,L2_etym
notis,nˈoʊɾɪs,notice (especially of dismissal),notice
Nuwamba,noʊvˈɛmbɚ,November,November
obin,ˈʌvən,oven,oven
ofis,ˈɑːfɪs,office,office
Oktoba,ɑːktˈoʊbɚ,October,October
Pakistan,pˌækɪstˈæn,Pakistan (a country in Asia),Pakistan
Paris,pˈæɹɪs,Paris (a city in France),Paris
Pasha,pˈɜːʒə,(historical) Persia,Persia
Pijo,pjuːʒˈoʊ,Peugeot car,Peugeot
Rasha,ɹˈʌʃə,Russia (a country in Europe and Asia),Russia
reza,ɹˈeɪzɚ,razorblade,razor
rula,ɹˈuːlɚ,ruler (measuring device),ruler
sadin,sɑː͡ɹdˈiːn,sardine,sardine
saja,sˈɑː͡ɹd͡ʒ,sergeant (military rank),sarge
samanja,sˈɑː͡ɹd͡ʒənt mˈeɪd͡ʒɚ,sergeant major (military rank),sergeant major
sanata,sˈɛnəɾɚ,senator,senator
Satumba,sɛptˈɛmbɚ,September,September
shat,ʃˈɜːt,shirt,shirt
siket,skˈɜːt,skirt,skirt
silin,sˈiːlɪŋ,ceiling,ceiling
sista,sˈɪstɚ,"(female) nurse, (Christianity) nun",sister
sitampi,stˈæmp,"postage stamp, Synonyms: kan-sarki, (Niger) tambur,",stamp
sito,stˈoː͡ɹ,storeroom,store
sufana,spˈænɚ,"wrench, spanner",spanner
tanti,tˈɛnt,"tent, small tarpaulin",tent
tasi,tˈæksi,taxi,taxi
tef,tˈeɪp,"measuring tape, recording tape, movie, film",tape
tela,tˈeɪlɚ,tailor,tailor
ti,tˈiː,"tea, Synonym: shayi",tea
tifa,tˈɪpɚ,"dump truck, sand truck",tipper
tire,tɹˈeɪ,tray,tray
titi,tˈiː tˈiː,street,títì
ton,tˈʌn,ton (unit of weight),ton
ulu,wˈʊl,"wool, wool thread",wool
wili,wˈiːl,wheel,wheel
yis,jˈiːst,yeast,yeast
Yuli,d͡ʒuːlˈaɪ,July,July
Yuni,d͡ʒˈuːn,June,June
zik,zˈɪp,"zipper, zip fastener",zip
