L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ຄັນ,/kʰan˦˥/,"of objects with handles; umbrellas, cutlery, ploughs",,
ຄັນ,/kʰan˦˥/,pregnancy,,
ຄັນ,/kʰan˦˥/,time,,
ຄັນ,/kʰan˦˥/,"if, when",,
ຄັນ,/kʰan˦˥/,pregnancy,,
ຄັນ,/kʰan˦˥/,time,,
ຄັນ,/kʰan˦˥/,"if, when",,
ຄັນ,/kʰan˦˥/,time,,
ຄັນ,/kʰan˦˥/,"if, when",,
ຄັນທະນູ,/kʰan˦˥ tʰa˦˦ nuː˦˥/,bow (weapon),,
ຄາງ,/kʰaːŋ˦˥/,(anatomy) chin,,
ຄາງ,/kʰaːŋ˦˥/,to moan; to groan,,
ຄາງ,/kʰaːŋ˦˥/,to moan; to groan,,
ຄານ,/kʰaːn˦˥/,"to creep, crawl",,
ຄານ,/kʰaːn˦˥/,"shoulder carrying-pole, prop, beam",,
ຄານ,/kʰaːn˦˥/,"charming, fascinating, elegant, graceful",,
ຄານ,/kʰaːn˦˥/,"nose, olfactory organ",,
ຄານ,/kʰaːn˦˥/,"shoulder carrying-pole, prop, beam",,
ຄານ,/kʰaːn˦˥/,"charming, fascinating, elegant, graceful",,
ຄານ,/kʰaːn˦˥/,"nose, olfactory organ",,
ຄານ,/kʰaːn˦˥/,"charming, fascinating, elegant, graceful",,
ຄານ,/kʰaːn˦˥/,"nose, olfactory organ",,
ຄານ,/kʰaːn˦˥/,"nose, olfactory organ",,
ຄຳ,/kʰam˦˥/,"word, speech",,
ຄຳ,/kʰam˦˥/,gold,,
ຄຳ,/kʰam˦˥/,"to caress, fondle, stroke, to touch, feel (by hand)",,
ຄຳ,/kʰam˦˥/,gold,,
ຄຳ,/kʰam˦˥/,"to caress, fondle, stroke, to touch, feel (by hand)",,
ຄຳ,/kʰam˦˥/,"to caress, fondle, stroke, to touch, feel (by hand)",,
ຄຳນວນ,/kʰam˦˥ nuan˦˥/,"to calculate, compute",,
ຄູ,/kʰu᷄ː/,teacher,,
ຄົນ,/kʰon˦˥/,"person, man",,
ຄົນ,/kʰon˦˥/,"to mix, stir",,
ຄົນ,/kʰon˦˥/,"to mix, stir",,
ຄົນອັງກິດ,/kʰon˦˥ ʔaŋ˩˨ kit˦˥/,"Englishman, ຂ້ອຍເປັນຄົນອັງກິດ.khǭi pen khon ʼang kit.I'm",,
ຄົວກິນ,/kʰua˦˥ kin˩˨/,to cook,,
ຄົວຊ່ອງ,/kʰua˦˥ sɔːŋ˧˧/,croissant,,
ເຄີຍ,/kʰɤːj/,"to become habitual, usual",,
ເຄົ້າ,/kʰau˥˧/,"origin; beginning; primary cause., relic of past ages.,",,
ເຄົ້າ,/kʰau˥˧/,bank or banker in a gambling game,,
ເຄົ້າ,/kʰau˥˧/,(ນົກ~) owl.,,
ເຄົ້າ,/kʰau˥˧/,bank or banker in a gambling game,,
ເຄົ້າ,/kʰau˥˧/,(ນົກ~) owl.,,
ເຄົ້າ,/kʰau˥˧/,(ນົກ~) owl.,,
ແຄນ,/kʰɛːn˦˥/,khene (traditional musical instrument),,
ງູ,/ŋuː˦˥/,snake,,
ງົວ,/ŋu᷄a/,cow,,
ຈອກ,/tɕɔːk˨˩/,"glass, goblet, water-lettuce, sparrow",,
