L2_orth,L2_ipa,L2_gloss,L2_etym
grixo,ˈæstɚɹˌɪsk ɡɹˈɪs,"grey, gray, Synonym: bixo",*gris
sàbbo,sæbˈɑːɾəm,"Saturday, 1984,  Fabrizio De André (lyrics), Mauro",sabbatum
