L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ёнкуля,/ˈjonkulʲa/,"gospel, evangel, Матвейстэ Ёнкуля, Маркасто Ёнкуля,",,
арт,[ˈart],"pattern, design, tracery, picture, image, photograph,",,
верьгума,/ˈvʲerʲɡuma/,flint,,
виряш,/ˈvirʲaʃ/,sister-in-law (elder brother's wife),,
ки,/ki/,"way, road, V. I. Ščankina (2011) Russko-mokšansko-erzjanskij",,
килей,/kʲilʲej/,(botany) birch,,
модаре,/ˈmodarʲe/,serf,,
нусма,[ˈnus.ma],"sadness, grief, sorrow",,
пазморо,/ˈpazmoro/,"psalm, Озксодо мейле минь морынек пазморо.Ozksodo mejle",,
Папазей,/pɑpɑzʲej/,"(in magic incantations) ruler of the penis, papaźej",,
пеште,/pʲeʃtʲe/,nut,,
пиземечирьке,[pizʲemet͡ʃirʲke],(meteorology) rainbow,,
пиря,[ˈpirʲa],wall,,
сёрмыкелькс,[ˈsʲormɨkelʲks],"(computing) a program, an application, an application",program,pɹˈoʊɡɹæm
сан,/sɑn/,"(anatomy) tendon, sinew, V. I. Ščankina (2011) Russko-mokšansko-erzjanskij",,
сэрьге,[ˈsɘrʲɡʲe],roach,,
топоведь,/ˈtopovʲedʲ/,"whey, serum",,
уре,[ˈurʲe],slave (male),,
цитерь,[ˈt͡sʲitʲerʲ],electricity,,
чандо,[ˈt͡ʃando],bride price (a sum of money or other valuables paid by a bridegroom or on his behalf to the family of the bride),,
чапа,[ˈt͡ʃapa],"Any sour or acidic liquid: acid., (chemistry) A substance",,
чарыкш,[t͡ʃarɨkʃ],bicycle,,
эрямарт,/ˈerʲamart/,"movie (individual film), cinema (art form), movies,",,
