L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
A,[e],"The first letter of the Malay alphabet, written in the Latin script.",,
aba,/abə/,Alternative form of abah,,
aba,/abə/,father (male parent),,
aba,/abə/,Alternative form of haba,,
aba,/abə/,father (male parent),,
aba,/abə/,Alternative form of haba,,
aba,/abə/,Alternative form of haba,,
aba-daba,/abə dabə/,germ,,
abad,[abat],"century (100 years), Synonym: kurun / قرون",,
abah,/abah/,"father (male parent), Synonyms: aba, ayah, bapa, rama,",,
abaka,[abakə],abaca (plant),,
abakus,/abakos/,abacus (calculating frame),abacus,ˈæbækəs
abalone,[abalone],abalone (edible univalve mollusc),abalone,ɐbˈæloʊn
abang,/abaŋ/,brother (older male sibling),,
abdomen,/abdomən/,abdomen (belly),,
abduktor,/abduktor/,(anatomy) Abductor (muscle),,
abiad,/abiat/,white (bright and colourless),,
abiad,/abiat/,white (colour),,
abjad,/abd͡ʒat/,"alphabet (an ordered set of letters used in a language),",,
abomasum,/abomasum/,Abomasum (fourth or digestive stomach of a ruminant),,
absorptif,/apsɔ(r)ptef/,absorptive (having capacity to imbibe),absorptive,ɐbsˈoː͡ɹptɪv
abu,/abu/,"ash (solid remains of a fire), Synonyms: debu, duli,",,
abu-abu,[abu abu],(Indonesia) grey (colour),,
abu-abu,[abu abu],(Indonesia) grey (colour),,
abyad,/abiat/,white (bright and colourless),,
abyad,/abiat/,white (colour),,
acara,/at͡ʃarə/,"agenda, program, event (occurrence of social or personal",,
Aceh,/at͡ʃeh/,Aceh (province of Indonesia),,
acuan,/a.t͡ʃu.an/,mold (hollow object with a fixed shape to which liquid,,
ada,/adə/,to be (exist),,
adalah,/adəlah/,"(predicate marker) to be
Ini adalah benar.
This is true.",,
adat,/adat/,custom (Frequent repetition of the same act),,
adelfogami,/adelfoɡami/,adelphogamy (marriage between a brother and a sister),adelphogamy,ɐdˈɛlfəɡˌæmi
adem,/adəm/,(Jakarta) cold (having a low temperature),,
adi,/adi/,Alternative form of adik,,
adik,/adeʔ/,sibling ((younger) person who shares same parents),,
adik-beradik,/adeʔ bəradeʔ/,sibling (person who shares the same parents),,
adil,/adel/,"fair, just, right, legal",,
adinda,/adində/,(poetic) Alternative form of adik,,
ading,/adeŋ/,Alternative form of adik,,
adoi,/adoi̯/,Alternative form of aduh,,
aduh,/aduh/,"ouch (expression of one's own physical pain), ouch",,
aduktor,/aduktor/,Adductor (muscle),,
aerologi,/eroloɡi/,aerology (branch of meteorology),,
Afrika,/afrikə/,Africa (continent south of Europe),Africa,ˈæfɹɪkə
Afrikaans,/afrikans/,Afrikaans (language),,
Afrikaans,/afrikans/,Afrikaans (of or pertaining to the Afrikaans language),,
agak,/aɡaʔ/,to guess (to solve by a correct conjecture),,
agama,/aɡamə/,"religion (system of beliefs dealing with soul, deity",,
agar,/aɡa(r)/,so that (in order to),,
agar,/aɡa(r)/,"agar (a material obtained from the marine algae), agar-agar,",,
agar,/aɡa(r)/,"agar (a material obtained from the marine algae), agar-agar,",,
agar-agar,/aɡa(r) aɡa(r)/,"agar (a material obtained from a marine alga), agar-agar",,
agas,/aɡas/,sandfly (fly of Lutzomyia or Phlebotomus),,
agenda,[a.ɡen.da],agenda.,agenda,ɐd͡ʒˈɛndə
Agus,/aɡos/,"Alternative form of Bagus, A male given name from Malay",,
ahad,/ahat/,one,,
Ahad,/ahat/,Sunday (day of the week),,
ahmak,/ahˈmac/,stupid (lacking in intelligence),,
aikido,/aikido/,aikido,,
ain,/aen/,(anatomy) eye (organ),,
Ainu,/ai̯nu/,"Ainu people, Ainu (ethnic group)",,
air,/air/,"water (liquid H2O), 2012, Faridah Abdul Rashid, Research",,
ais,/aes/,ice (water in frozen form),ice,ˈaɪs
ajaib,/ad͡ʒaep/,"magical (relating to magic), miraculous (by supernatural",,
ajak,/ad͡ʒaʔ/,"invitation, the dhole",,
ajak,/ad͡ʒaʔ/,to invite (ask for the presence or participation of,,
akak,/akaʔ/,older sister,,
Akan,/akan/,Akan (ethnic group),,
akan,/a.kan/,"will
Saya akan membesar.I will grow.",,
akang,/akaŋ/,"older sister, (rare) older brother, (rare) older sibling",,
akar,/aka(r)/,root (of plant),,
akhdar,[axda(r)],green (having green as its colour),,
akhdar,[axda(r)],green (colour),,
Aklan,/aklan/,Aklanon (ethnic group),,
akromion,/akromion/,(anatomy) Acromion (outermost point of the shoulder blade),,
aksi,/aksi/,action (something done so as to accomplish a purpose),,
akta,/aktɐ/,act (statute),ācta,ˈæktə
aktif,/aktef/,active (quick in physical movement),,
aktinium,[aktiniom],actinium (chemical element),actinium,æktˈɪniəm
aktivitet,/ak.ti.vi.tet/,Synonym of aktiviti,,
aktiviti,/ak.ti.vi.ti/,activity,activity,æktˈɪvᵻɾi
aku,/aku/,"I (personal pronoun), Aku orang itu.I am that person.,",,
ala,-ə,like,,
alamak,/alamak/,"oh my God, (literally) Mother of God (expression of",,
Albania,/albenia/,Albania (a country in Europe),Albania,ælbˈeɪniə
Albania,/albenia/,Albanian (Of or pertaining to Albania),Albania,ælbˈeɪniə
alfabet,/alfabet/,"alphabet (an ordered set of letters used in a language),",alphabet,ˈælfəbˌɛt
alih,/alih/,(intransitive) to move (to change place or posture;,,
alir,/ale(r)/,Alternative form of alur,,
alir,/ale(r)/,Alternative form of alur,,
Allah,/allah/,(Islam) Allah,,
alpa,/alpə/,"neglectful (tending to neglect), Synonyms: cuai, lalai",,
alu,/alu/,"pestle (instrument used with a mortar to grind things),",,
aluminium,/aluminiom/,aluminium (A silvery metal),aluminium,ˌæljʊmˈɪniəm
alur,/alo(r)/,(intransitive) to flow (to move as a fluid),,
alur,/alo(r)/,river (large stream which drains a landmass),,
aman,/aman/,peaceful,,
amat,/amat/,"very
Amat menakjubkan persembahan tadi!That performance was amazing!
Synonyms: begitu, sangat, sungguh, sekali",,
ambang,/ambaŋ/,"the time just before an event, the brink of an event",,
ambang,/ambaŋ/,to float (drift gently through the air),,
amerisium,[amɛrisiom],americium (chemical element),americium,ɐmɪɹˈɪsiəm
ampat,/ampat/,(pre-1972) Obsolete spelling of empat,,
ampun,/ampun/,freedom from a punishment (that was because of a sin,,
ampun,/ampun/,free someone from a punishment (that was because of,,
amuk,/amuk/,to run amok,,
-an,/an/,"Suffix for collectivity, Suffix for similarity, Suffix",,
ana,/anə/,"I (personal pronoun), me (direct object of a verb),",,
anai-anai,/anai̯.anai̯/,termite (insect),,
anak,/anaʔ/,"child (a female or male child, a daughter or son)",,
anam,/anam/,(pre-1972) Obsolete spelling of enam,,
anda,/anda/,"you (formal; polite), Anda siapa?Who are you?, Synonyms:",,
aneh,/aneh/,strange (not normal),,
anggap,/aŋɡap/,to assume,,
angin,/aŋin/,wind (movement of air),,
angka,/aŋkə/,numeral (word or symbol representing a number),,
angkat,/aŋkat/,"to lift (to raise), to adopt (To take by choice into",,
angkut,/aŋkot/,to transport (carry or bear from one place to another),,
angsa,/aŋsə/,swan goose,,
anjing,[aɲd͡ʒeŋ],dog (animal),,
anoa,/anoə/,anoa (a small Indonesian water buffalo),,
antarabangsa,/antarabaŋsə/,"international, perhubungan antarabangsa ― international",antara,æntˈɑː͡ɹɹə
antelop,/antəlop/,antelope,antelope,ˈæntɪlˌoʊp
antimoni,[antimoni],antimony (chemical element),antimony,ˈæntɪməni
antologi,[antoloɡi],anthology (collection of literary works),anthology,ænθˈɑːləd͡ʒi
antu,/an.tu/,"(Pontianak, Sanggau) ghost; demon",,
anu,/anu/,(obsolete) that; those; the; synonym of itu,,
anugerah,/a.nu.ɡə.rah/,"award, Anugerah Juara Lagu ― Champion of Song Award,",,
anyam,/aɲam/,plaiting; braiding; making mats and baskets or wattled,,
apa,/apə/,"what (interrogative pronoun), Apa khabar?How are you?",,
apa-apa,/apa apa/,"anything; whatever (any thing of any kind), Aku boleh",,
apabila,/apəbilə/,when (at such time as),,
api,[api],fire (oxidation reaction),,
April,[aprel],April (fourth month of the Gregorian calendar),April,ˈeɪpɹəl
ara,/arə/,fig (tree or shrub),,
Arab,/arap/,Arab (of or pertaining to Arabs and their nations),,
arah,/arah/,"direction
Arah barat ― Westwards",,
arah,/arah/,"(transitive) to order someone to do something
Synonym: suruh",,
Arau,/arau̯/,"Arau (the royal capital of Perlis, Malaysia)",,
Arbaa,/a(r)ba(ʔ)ə/,Alternative form of Rabu,,
ardi,/a(r)di/,earth (soil),,
ardvark,/a(r)tva(r)k/,aardvark (mammal),aardvark,ˈɑː͡ɹdvɑː͡ɹk
argentum,[a(r)ɡɛntom],silver (metal),,
argon,/a(r)ɡɔn/,argon (chemical element),argon,ˈɑː͡ɹɡɑːn
ari,/ari/,(Java) Alternative form of adik,,
arkib,/a(r)kep/,archive (place for storing earlier material),,
armadillo,/a(r)madilo/,armadillo,armadillo,ˌɑː͡ɹmɐdˈɪloʊ
Armenia,/armenia/,Armenia (a country in Europe and Asia),Armenia,ɑː͡ɹmˈiːniə
Armenia,/armenia/,"Armenian (of, from, or pertaining to Armenia, Armenians,",Armenia,ɑː͡ɹmˈiːniə
arnab,/a(r)nap/,rabbit (mammal),,
arsenik,[a(r)sənek],arsenic (chemical element),arsenic,ˈɑː͡ɹsnɪk
artikel,[a(r)tikəl],"article (story, report, or opinion piece)",,
arus,/aros/,(water) current,,
asa,/asə/,hope (belief that something wished for can happen),,
asa,/asə/,to hope (to want something to happen),,
asap,/asap/,smoke (visible particles and vapour given off by burning,,
asin,/asen/,salty (tasting of salt),,
asing,/aseŋ/,foreign (from a different country),,
assalamualaikum,/assalamuʔalai̯kom/,"(Islam) salaam alaikum, assalamu alaykum (Muslim greeting)",,
asta,/astə/,eight,,
astatin,[astaten],astatine (chemical element),astatine,ɐstˈætiːn
astă,/astə/,(pre-1972) Obsolete spelling of asta,,
asu,[asu],(Sanggau) dog (animal),,
aswad,[asuat],black (absorbing all light),,
aswad,[asuat],black (colour),,
atap,/atap/,roof (the cover at the top of a building),,
atas,/a.tas/,"on, upon, on top of, above (abstract)",,
atau,/atau̯/,"or, 1812,  Marsden, William,  A Dictionary of the Malayan",,
atom,/atom/,(physics) atom (physics: smallest possible amount of,atom,ˈæɾəm
atuk,/atuk/,grandfather,,
atur,/ato(r)/,"to arrange (to set up, organise)",,
aur,/aur/,"bamboo (plant), bamboo (wood)",,
aurum,[aurom],gold (element),aurum,ˈɔːɹəm
Australia,/au̯straliə/,Australia (a continent and country in Oceania),Australia,ɔːstɹˈeɪliə
automatik,/au̯tomatek/,automatic (capable of operating without external control),automatic,ˌɔːɾəmˈæɾɪk
autopsi,[au̯tɔpsi],autopsy (a dissection performed on a cadaver),autopsy,ˈɔːtɑːpsi
awak,/awaʔ/,"body, (usually in compound) crew;, A group of people",,
awak,/awaʔ/,"you (informal, used especially between speakers of",,
awan,/a.wan/,cloud (visible mass of water droplets suspended in,,
aya,/ajə/,father (male parent),,
ayah,/ajah/,"(formal, polite) father (male parent), Ayah Daniel",,
ayah,/ajah/,"(dated) nursemaid, usually one of Indian ancestry",,
ayah,/ajah/,"(dated) nursemaid, usually one of Indian ancestry",,
ayahanda,/ajahandə/,"father (poetic, also royal)",,
ayam,/ajam/,"chicken (bird), chicken (meat)",,
ayan,/ajan/,zinc (Element),,
ayu,/aju/,dainty (Delicately small and pretty),,
Ayu,/aju/,A female given name from Malay,,
ayuk,/ajoʔ/,Alternative form of ayut,,
ayut,/ajot/,to copulate (to engage in sexual intercourse),,
azam,/azam/,resolution (statement of intent),,
Azerbaijan,/azə(r)bai̯d͡ʒan/,Azerbaijan (a country in Europe and Asia),Azerbaijan,ˌæzɚbaɪd͡ʒˈɑːn
