L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ager,[ɑ́ːɣɐ],a field,,
alika,[aʊlika],a jackdaw,,
alnbuğe,[ɑ̀ːlˌbøʉːə],elbow,,
avtan,[àtan],evening,,
bebla,[bèːbla],to babble,,
blánker,[bláʊŋkɐ],"bright, shining, glossy, blank",,
blæsa,[blàɪːsa],to blow,,
borð,[béʊːɐ],table,,
bose,[bèʊːsɛ],snake,,
bruga,[bʁø̀ʉːɡa],"to make use of, to be used to",,
brønn,[bʁœ́ɲ],a well,,
bærstuğe,[bɛ̀ɐ̯ːstøʉ̯ː(ɛ)],"General living room, lacking a fireplace and thus only",,
disæmber,[dɪsáɪmbɐ],December (month),,
djyber,[jǿʏːbɐ],deep,,
drikka,[dʁètɕa],to drink,,
drónning,[dʁø̀nɪɲ],queen,,
drøpp,[dʁœ́p],drop,,
dygg,[dʏd͡ʑ],dew,,
døstreg,[ˈdǿːstʁéːd͡ʑ],deadline,deadline,dˈɛdlaɪn
fağn,[fɔ́ɪːn],fathom,,
fibervari,[feɪbɐʋɑ́ːʁɪ],February (month),,
flyğa,[flø̀ʏːa],to fly,,
fá,[fáʊː],to get,,
fédt,[fʊ́ɪt],fat,,
fólk,[fǿlk],people,,
føğle,[fø̀ɪːlə],"company, retinue, escort",,
gammall,[ɡàmaʎ],old,,
gida,[jèɪːda],"to have the energy to, to feel up for",,
glowa,[ɡlèʊːa],"to heat until glowing, to cook on a grill",,
goðer,[ɡéʊːɐ],good,,
gyda,[jø̀ʏːda],to pour,,
gárð,[ɡáʊːɐ],"courtyard, yard",,
gæda,[jàɪːda],"to guess, Kan J gätte hór mied ja har ged fór ditte",,
gønom,[jǿːnʊm],through,,
hanağ,[hɑ̀ːna],honey,,
haw,[hɑ́ː],sea,,
hawbørw,[ˈhɑ̀ːˌbœːɐ],"sandbank, sandy beach at the seashore; seashore",,
hawe,[hàʊː],garden,,
huweð,[hø̀ʉː],head,,
hvo,[ʊ́],who,,
hvysla,[ʊø̀ʏzla],to whistle,,
hyben,[hǿʏːbm̩],rosehip,,
hæven,[hɛ̀ːvɛn],swollen,,
høğa,[hø̀ɪ̯ːa],"(intransitive) To be tall, high and protruding; exceed with height; about those who, by length or occupation, raise themselves above or exceed others.",,
høğmad,[hø̀ɪ̯ːmɑːd],"a large bread with a high stack of pieces of pork, meat, sausage, which on Christmas Eve was distributed to each of the servants of a household out in the country",,
igarne,[ˈèɪːɣanə],squirrel,,
jorð,[jéʊːɐ],"earth, soil",,
jorðpæra,[ˈjèʊːɐˌpɛ̀ːʁa],potato,,
kaja,[kàɪːa],(anatomy) The left hand.,,
klákka,[klàʊka],"clock, watch; an instrument used to measure or keep",,
kløva,[klø̀ːʋa],to cleave,,
krawe,[kʁɑ́ːɛ],collar,,
krævs,[kʁaɪʋs],crayfish,,
kulna,[kø̀ʉːlna],"to become colder, cool, cool down, to become stiff,",,
káller,[káʊlɐ],cold,,
káng,[káʊŋ],king,,
kærlegsæble,[ˈɕɛ̀ɐːleːɡsˌàɪːblɛ],tomato,,
kéðer,[ɕʊ́ɪːɐ],"sorry, sad",,
køba,[ɕø̀ːba],to buy,,
køm,[kǿm],comb,,
lim,[léɪm],limb,,
ljordağ,/ʎɔ́ːdɑ/,Saturday,,
ljuğa,[jø̀ʉːa],to lie (tell an untruth),,
ljá,[jóː],scythe,,
lowa,[lɑ̀ʊːa],"to praise, to promise",,
lower,[léʊːɐ],low,,
lug,[ˈlǿʉːɣ],"weed, unwanted plant",,
lyn,/lǿʏːn /,lightning,,
lákke,[làʊ̯kɛ],"spider, Araneæ and Opiliones",,
lánger,[láʊŋɐ],long,,
marğinn,[mɑ̀ːn],morning,,
maðk,[máːk],worm,,
milk,[méɪlk],milk,,
monn,[mʊ́n],mouth,,
mála,[màʊːla],to measure,,
mørker,[mœ́ɐkɐ],dark,,
nimma,[nèɪma],to understand,,
næginn,[nɛ̀ːɣn̩],naked,,
nælla,[nàɪla],nettle,,
nørðe,[nœ̀ːɐ],northern,,
nøtt,[nǿt],night,,
obna,[èʊːbna],to open,,
orð,[éʊːɐ],word,,
oğse,[èʊːsə],"bull, ox",,
prega,[pʁèːɡa],to poke,,
rawn,[ʁɑ́ːn],raven,,
regna,[ʁèːɡna],"to calculate, reckon, to consider, regard",,
riva,[ʁèɪʋa],a rake,,
rávt,[ʁáʊʋt],"a rod, stick",,
ræðeliğer,[ʁɛ́ːleɪɐ],"disgusting, frightening, terrible",,
rénsa,[ʁʊ̀ɪnsa],to clean,,
rødna,[ʁø̀ːdna],to rot,,
røra,[ʁø̀ːʁa],(anatomy) groin,,
samdryğer,[ˈsàmˌdʁøʏːɐ],phlegmatic,,
sağs,[sɑ́ːs],"shear, shears",,
sebla,[sèːbla],to slurp,,
seda,[sèːda],to sit,,
siğa,[sèɪːa],to say,,
skidinn,[ʃìːðɪɲ],dirty,,
snés,[snʊ́ɪːs],a score (twenty),,
spøra,[ˈspœ̀ːɐ],to ask,,
strybe,[stʁø̀ʏːbə],throat,,
svoltinn,[sʊ̀ltn̩],hungry,,
svælla,[ˈsʊàɪla],to swallow,,
syrk,[sʏ́ːɐ̯k],shrew,,
sánka,[sàʊ̯ŋka],To collect.,,
sælv,[ˈsɛ́ːl],self,,
sóğn,[sǿɪːn],"parish, municipality",,
sømmarfuğl,/sø̀maˌføʉ̯ːl/,a butterfly,,
tjykker,[ˈɕø̀ʏːkɐ],"fat, thick",,
tor,[téʊːɐ],March (month),,
træ,[tʁáɪː],tree,,
trætter,[tʁáɪtɐ],tired,,
trøll,[tʁœ́ʎ],a troll,,
tága,[tàʊːɡa],"fog, mist",,
tákke,[tàʊ̯kɛ],"cock, male chicken",,
tøja,[tø̀ɪːa],to thaw,,
tølvt,[tǿlt],a dozen,,
tørrer,[ˈtœ́ʁɐ],dry,,
uga,[ø̀ʉːɡa],week,,
vaga,[ʋɑ̀ːɣa],to be awake,,
vann,[ʋán],water,,
vağn,[ʋɑ́ʊːn],"cart, wagon, carriage",,
veda,[ʋèːða],to know,,
vuğsa,[ʋø̀ʉːza],(intransitive) to grow,,
váss,/ʋaʊs/,"us (objective case), reflexive case of ví; compare",,
vægg,[ʋáɪɡ],wall,,
væzka,[ʋàɪska],liquid,,
vøv,[ʋǿːʋ],a weave,,
yva,[ìːʋa],eye,,
yğsa,[ø̀ʏːsa],axe,,
áðra,[àʊːɐ],"vein, blood vessel",,
áğsel,[ɑ́ɪːzl̩],axle,,
