L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ཀི་ཏབ,/ki˥.tɑp˥/,"book, notebook",,
ཀླད་ཀོར,/le˥.ko˥/,zero (0),,
ཁ,/kʰɑ˥/,language,,
ཁ་ཆེ,/kʰɑ˥.t͡ɕʰe˥/,Kashmir (the region encompassing the southmost portion,,
ཁ་ཆེའི་ལྷ,/kʰɑ˥.t͡ɕʰej˥.ɬɑ˥/,"(Islam) Allah, the God of Islam",,
ཁོ,/kʰo˥/,he,,
ཁོང,/kʰoŋ˥/,they,,
ཁྱེས,/t͡ɕʰɛː˥/,"ye, you",,
ཁྱོད,/t͡ɕʰøː˥/,"thou, you",,
ཁྱོད་ཅ་ང་ཅ་ཁ,/t͡ɕʰøː˥.t͡ɕɑ˥.ŋɑ˩.t͡ɕɑ˥.kʰɑ˥/,"the Chocangaca language, one of the closest relatives",,
གཅིག,/t͡ɕik̚˥/,one (1),,
གཉིས,/njiː˥/,two (2),,
གདོང,/toŋ˩/,"face, visage",,
གནགཔོ,/nɑp˥/,"black, dark",,
གཞུང,/ʑuŋ˩/,"centre, core, heartland, hub, government, the state,",,
གཞོནམ,/ʑøːm˩/,young,,
གཟི,/zi˩/,cymophane (cat's eye),,
གཟུགས,/zuː˩/,body,,
གཡུས,/yː˥/,"village, country",,
གསུམ,/sum˥/,three (3),,
གསེར,/seː˥/,gold,,
གོན,/kʰøːn˩/,cucumber,,
གླུ,/lu˥/,song,,
ང,/ŋɑ˩/,I,,
ང་བཅས,/ŋɑ˩.t͡ɕe˥/,we,,
ངའི,/ŋi˩/,my (1st-person singular genitive pronoun),,
ཅི,/t͡ɕi˥/,(suffixed to verbs) used to form the witnessed past,,
ཅི,/t͡ɕi˥/,what (relative 3rd-person inanimate absolutive pronoun),,
ཅི,/t͡ɕi˥/,what (relative 3rd-person inanimate absolutive pronoun),,
ཅིག,/t͡ɕik̚˥/,Alternative form of གཅིག (“one (1)”),,
ཆ,/t͡ɕʰɑ˥/,"pair, couple",,
ཆ་རོགས,/t͡ɕʰɑː˥.rok̚˩/,"friend, ally, comrade",,
ཆརཔ,/t͡ɕʰɑːp˥/,rain,,
ཆི་རི་ལི་ཚ,/t͡ɕʰi˥.ri˩.li˩.t͡sʰɑ˥/,the Cyrillic script,,
ཆུ,/t͡ɕʰu˥/,"water, urine, Synonym: ཆབ་གསང་བསྡུསཔ (chab gsang bsdusp)",,
ཆུང་ཀུ,/t͡ɕʰuŋ˥.ku˩/,small,,
ཇ་ཆང,/t͡ɕʰɑ˩.t͡ɕʰɑŋ˥/,tea and drinks,,
ཉི་མ,/nji˩.mɑ˩/,(in the) afternoon,,
ཉིམ,/njim˩/,the Sun,,
ཏིང,/tiŋ˥/,bowl or vessel for offerings,,
ཐིག,/tʰik̚˥/,(telephone numbers) zero (0),,
ཐིམ་ཕུ,/tʰim˥.pʰu˥/,Thimphu (the capital of Bhutan),,
ཐོཝ,/tʰow˥/,"hammer, ram (device)",,
དངུལ,/ŋyː˥/,"silver, currency, money",,
དངུལ,/ŋyː˥/,"silvery, shiny white, silver-colored",,
དྲུག,/ʈʰuk̚˩/,six (6),,
ནང,/nɑ˩/,"(suffixed to nouns) in, inside, on (locative suffix)",,
ནད,/neː˩/,"illness, disease",,
ནཱ,/nɑː˩/,"(honorific) you, thou",,
པ་ནིར,/pɑ˥.niː(r)˩/,"paneer, cheese (in general)",,
པགས་ཀོ,/pɑk̚˥.ko˥/,"skin, hide, shell, rind, leather",,
ཕད་ཅུང,/pʰe˥.t͡ɕu˥/,"bag, valise, pouch, backpack",,
ཕར,/pʰɑː˥/,"there, thither",,
ཕོ་ཅུངམ,/pʰo˥.t͡ɕum˥/,"abdomen, belly",,
ཕྱི་རྒྱལ,/pt͡ɕʰi˥.kɛː˩/,foreign country,,
ཕྱུགཔོ,/pt͡ɕʰup˥/,"rich, affluent, bourgeois",,
ཕྱོ,/pt͡ɕʰo˥/,they (3rd-person animate-neuter singular absolutive,,
བཀའ་དྲིན་ཆེ,/kɑ˥.ʈʰi˩.t͡ɕʰe˥/,thank you (an expression of gratitude).,,
བཏོན,/tøːn˥/,"to remove, to withdraw, to extract",,
བདུན,/tyːn˩/,seven (7),,
བཞི,/ʑi˩/,four (4),,
བཞི་ཕོད,/ʑe˩.pʰøː˥/,the year after next,,
བསྡུ,/tu˩/,"to collect, to accumulate",,
བསྡུ་ཚིག,/tu˩.t͡sʰik̚˥/,abbreviation,,
བསླབ་བྱ,/lɑp˥.pt͡ɕʰɑ˩/,"advice, counsel, lesson",,
བོད,/pʰøː˩/,Tibet,,
བོདཔ,/pʰøːp˩/,Tibetan person,,
བྱག,/pt͡ɕʰɑːk̚˩/,"cliff, escarpment",,
བྱི་ཙི,/pt͡ɕʰi˩.t͡si˥/,"rat, mouse, rodent",,
བྱི་ལི,/pt͡ɕʰi˩.li˩/,"cat, feline",,
བྱུང,/pt͡ɕʰuŋ˩/,to arise,,
མ,/mɑ˩/,"Alternative form of མི (mi, “not, non-”)",,
མགྱོནམོ,/kʰøːm˩/,"guest, houseguest",,
མཉམ,/njɑm˥/,"same, equal",,
མདའ,/tɑ˩/,arrow,,
མཚམས,/t͡sʰɑm˥/,"border, frontier, boundary",,
མཛོད,/t͡søː˩/,"storehouse, repository",,
མིག་ཏོ,/mik̚˥.to˥/,eye,,
མིང,/meŋ˩/,"name, title",,
མིང་སྡུད,/meŋ˩.tu˩/,abbreviation,,
མེ,/me˩/,"fire, light, lantern",,
མོ,/mo˩/,she,,
ཙ་རི,/t͡sɑ˥.ri˩/,"Mount Tsari (a Buddhist holy site in Chinese Tibet,",,
ཙ་རི,/t͡sɑ˥.ri˩/,tsar (a Slavic monarch or emperor),,
ཙ་རི,/t͡sɑ˥.ri˩/,tsar (a Slavic monarch or emperor),,
ཚིག,/t͡sʰik̚˥/,word,,
ཚིག་མཛོད,/t͡sʰik̚˥.t͡søː˩/,"dictionary, glossary",,
ཚུ,/t͡sʰu˥/,optionally used to form the emphatic plural number; -s,,
ཚོང,/t͡sʰoŋ˥/,"sale, trade",,
ཛ་ཏི,/t͡sɑ˩.ti˥/,"nutmeg, (traditional) medicinal nutmeg used as a headache",,
ཛའི,/t͡sɑj˩/,"hey! (expression of surprise, being caught off-guard, or startlement)",,
ཝ,/wɑ˩/,"tub, trough",,
ཝ་གཤོང,/wo˩.ɕo˥/,"(of a blade) fuller, blood-gutter(s)",,
ཞབས,/ɕɑp˩/,Your Majesty (2nd & 3rd-person formal singular absolutive,,
ཞབས,/ɕɑp˩/,Your Majesty (2nd & 3rd-person formal singular absolutive,,
ཞབས་ཁྲ,/ɕɑp˩.ʈʰɑ˥/,dance,,
ཞལ,/ɕɛː˩/,(formal) face,,
ཞྭམོ,/ɕɑm˩/,"hat, cap",,
ཟ,/sɑ˩/,"to eat, to bear fruit",,
ཟོ་ར,/zo˩.rɑ˩/,"dawn, sunrise",,
ཟོརཝ,/sow˩/,"sickle, billhook, arival",,
ཟོརཝ་དང་ཐོཝ,/sow˩.tʰɑ˩.tʰow˥/,hammer and sickle,,
འགྱོ,/t͡ɕo(r)˩/,to go,,
འཆར་གཞི,/t͡ɕʰɑr˥.ʑi˩/,"(governmental) plan, scheme, strategy, vision",,
འཕོཝ,/pʰow˥/,stomach,,
འབྱུང,/pt͡ɕʰuŋ˩/,to arise,,
འབྲུག,/ʈuk̚˩/,dragon,,
འབྲུག,/ʈuk̚˩/,(slang) Bhutan,,
འབྲུག་ཡུལ,/ʈuk̚˩.yː˩/,Bhutan (a country in Asia),,
འུ,/u˩/,a kiss,,
འུགཔ,/uːp˩/,owl,,
ཡ,/jɑ˩/,a single member of a pair,,
ཡང,/jɑ˩/,"also, too",,
ཡི,/ji˩/,(suffixed to verbs) used to form the witnessed past tense (after orthographic endings of ང or a vowel),,
ཡིག་ཚང,/jik̚˩.t͡sʰɑ˥/,"office, bureau",,
ཡུ་ཁོད,/ju˩.kʰøː˥/,euchre,euchre,jˈuːkɚ
ཡུལ,/yː˩/,"village, country",,
ཡེ་ཤུའི་ལྷ,/je˩.ɕuj˥.ɬɑ˥/,the Christian god,,
ཡོད,/jøː˩/,"to be (attributive, indirect (known) evidential)",,
རི,/ri˩/,"hill, (portion of) a mountain below the tree line",,
རྐངམ,/kɑːm˥/,leg,,
རྒིལ་འག་སྨེ་ཡེར,/kil˩.kɑ˩.me˥.jer˩/,the Milky Way galaxy,,
རྒྱབོ,/t͡ɕɑw˩/,"beard, mustache",,
རྒྱལ,/kɛː˩/,"to conquer, to win",,
རྒྱལཔོ,/kɛːp˩/,"king, ruler's title",,
རྫས,/t͡sɛː˩/,gunpowder,,
རྫས་མདའ,/t͡sɛː˩.tɑ˩/,"(military) rocket, missile",,
རྫོང,/t͡soŋ˩/,jong (a Tibetan or Bhutanese fortress),,
རྫོང་ཁ,/t͡soŋ˩.kʰɑ˥/,Dzongkha,,
ལ,/lɑ˩/,mountain pass,,
ལམ,/lɑm˩/,"road, path, way",,
ལཱ,/lɑː˩/,"work, labor, action",,
ལྔ,/ŋɑ˥/,five (5),,
ལྕགས,/t͡ɕɑːk̚˥/,iron,,
