L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
صفران,/sɑfˈɾɑn/,colloquial form of زعفران‎ (zaʼferan),,
صنار,/sɯˈnaɾ/,"(rare) Alternative form of چنار‎ (çınar, “oriental",,
صنعت,[sɒˈnɒt],"trade, craft, art, an instance of ingeniousness, skillful",,
صوغان,[so.ˈɣɑn],onion,,
صومون,/soˈmun/,"a round slab of bread, a loaf, a bread roll, an other",,
طاتمق,[tat-],to taste,,
طاهر,[tahɯɾ],"(also theology) pure; clean, a. 1636, Nefʿī, ‏طاهر",,
طبان,/taˈban/,"sole of the foot, sole of a shoe, fundament, basis,",,
طبانجه,/tɑ.ˈbɑn.dʒɑ/,"palm of the hand, slap, box with the flat hand, trigger,",,
طرخون,[tɑrˈhun],"tarragon, estragon (Artemisia dracunculus), Synonym:",,
طوت,/tut/,mulberry (fruit),,
طون,/don/,"robe, raiment, garment, weed, color of a horse, equine",,
طوڭ,/doŋ/,frost,,
طوڭدرمه,[dɔŋduɾˈmɑ],something put into solid state of matter by temperature,,
عجمی,[ad͡ʒɛˈmiː],"foreigner, barbarian, a member of the corps of young",,
عجمی,[ad͡ʒɛˈmiː],see the noun,,
عجمیلك,[ad͡ʒɛmiːˈlic],"barbarity, state of foreignness, untrainedness, inexperience,",,
فابریقه,/fab.ɾi.ka/,"factory, Synonym: كارخانه‎",,
فرصت,[fuɾˈsɒt],"opportunity, chance, occasion",,
فرچه,[fɯɾˈt͡ʃɑ],"brush, oblong bristle implement for cleaning",,
فس,/fɛs/,"Fez (a city in Morocco), alternative form of فاس‎ (Fas)",,
فس,/fɛs/,"fez, tarboosh",,
فس,/fɛs/,"fez, tarboosh",,
فشقی,/fɯʃkɯ/,"dung, manure, fertilizer, Synonyms: گوبره‎ (göbre,",,
قاصه,/kɑ.sɑ/,"case, safe (a box, usually made of metal, in which",,
قالای,[kɑˈɫɑj],"tin (metal, element), superficial ornament, mock, Synonym:",,
قالبور,/kɑɫˈbuɾ/,"sieve, cribble",,
قلاغوز,/kɯɫɑˈuz/,"a guide, who leads on the way, particularly someone",,
قلقان,/kaɫkan/,"rondache, roundshield, a circular shield made of figwood",,
قلقانجی,/kaɫkand͡ʒɯ/,shield-maker or shield-seller,,
قورشون,[kuɾˈʃun],"lead (chemical element), bullet, Synonym: مرمی‎ (mermi)",,
قونداق,[kunˈdɑk],"bundle, faggot, oakum, roll of rags or anything, cloths",,
قونداقجی,[kundɑkˈt͡ʃɯ],"incendiary, someone who had the job to care for the",,
قیشله,/kɯʃɫɑ/,"barracks, 1914 July 21,  “ایرلاندا احوالی [Irish situation]”,",,
كار,/caɾ/,"(poetic, rare) business, negotium, work, affair, scheme,",,
كارخانه,/caɾhaˈnɛ/,"factory, workshop, Synonym: فابریقه‎ (fabrika), (colloquial)",,
كاور,[ɟaˈʋur],"non-Muslim, infidel, kafir, giaour",,
كراس,/ciˈɾas/,sweet cherry,,
كرخانه,/cɛɾhaˈnɛ/,colloquial form of كارخانه‎ (kârhane),,
كرس,/ciˈɾɛs/,"Alternative form of كراس‎ (kiras, “sweet cherry”)",,
كرویز,[cɛɾɛˈβiz],celery,,
كرپیچ,[cɛɾˈpit͡ʃ],unbaked brick,,
كشنش,[ciʃˈniz],"coriander (Coriandrum sativum), Synonyms: كزبره‎ (küzbere),",,
كفال,/ce.ˈfal/,grey mullet (Mugil cephalus),,
كلبك,[cɛlɛˈbɛc],butterfly,,
كلمه,/celiˈme/,"(grammar) word, Synonym: سوز‎ (söz)",,
كمر,/kɛˈmɛɾ/,"belt, girdle, arch, arcade, vault, cinter",,
كنك,[cyɳc],"conduit, water or gutter pipe (especially if of clay)",,
كهربا,[cɛhɾyˈbɑ],"amber, succin",,
كهربار,[cɛhɾiˈbɑɾ],vulgar form of كهربا‎ (kehrüba),,
كیرچ,/ciˈɾɛt͡ʃ/,lime,,
لعنت,/laˈnɛt/,"curse, anathema, an instance of malediction",,
لعنت,/laˈnɛt/,"(vulgar) damn, bloody",,
ـلق,/ɫɯk/,-ness,,
ـلك,/lic/,-ness,,
مازو,/mɑˈzu/,"gall nut, oak apple, oak gall, gall apple, Aleppo gall,",,
ماكینه,/ma.ci.na/,machine,,
مانطار,/manˈtaɾ/,"fungus, mushroom, lichen etc., the material cork, Synonym:",,
مرسین,/mɛɾˈsin/,myrtle (Myrtus gen. et spp.),,
مطبعه,[mɑtbɑˈ.ɑ],printing house,,
معرفت,[mɑʔriˈfɛt],"connaissance, knowledge, science, branch of science,",,
ملیت,/mil.li.jet/,nationality,,
منجنیق,/mɛnd͡ʒɛˈnik/,"trebuchet, ballista, catapult, mangonel, siege engine",,
ناجاق,/nad͡ʒak/,"large axe with a hammer at the back, pole-axe, battle",,
نیچه,[niˈd͡ʒe],"how, Synonym: نته‎ (nite), how many",,
وشنه,/viʃˈne/,sour cherry,,
ویا,/ve.jaː/,"or, Synonyms: یا‎ (ya), یا ده‎ (ya da), یاخود‎ (yahut),",,
پازی,[pɑʐɯ],chard (type of beet),,
پروقه,[pɛˈɾukɑ],"peruke, wig",,
پروكار,[pɛɾuˈcɑr],"hairdresser, coiffeur, Synonyms: بربر‎ (berber), صاچ",,
پنكان,/pinˈcɑn/,alternative form of پنگان‎ (pingân),,
پنگان,/pinˈɟɑn/,"cup, bowl, cupping jar, water clock, clepsydra, being",,
پوساط,[puˈsaˑt],"armament, armor, gear, accoutrement, what is worn to",,
پوستال,[posˈtal],"half-boot, buskin, cothurnus",,
پوسته,/pɔs.ta/,"mail, post, ‏پوسته و تلغراف نظارتی‎Posta ve Telgraf",,
پوشت,[puʃt],"catamite, Ganymede, a homosexual libertine who stoops",,
چانطه,/t͡ʃanta/,"wallet, bysack, suitcase",,
چمشیر,[t͡ʃim.ˈʃiɾ],box (Buxus sempervirens),,
چورك,/t͡ʃø.ˈɾɛc/,"sweet bread, brioche, Hypernyms: اكمك‎ (ekmek), نان‎",,
چوروتمك,[t͡ʃyɾytˈmɛc],"to let rot, to put to decay, to make ill laid out,",,
چوقه,/t͡ʃoka/,"baize, broadcloth, drape",,
چیلك,[tʃilɛk],"Tatar чия (çiya, “cherry”), Kazakh шие (şïe, “cherry”),",,
چیلك,[tʃilɛk],strawberry,,
گبرمك,/ɟe.bɛɾ.mec/,to die,,
گبه,/ɟe.be/,"pregnant, Synonyms: حامله‎ (hamile), یوکلو‎ (yüklü)",,
گنجلك,/ɟɛndʒ.lic/,"youth, 1927 October,  Mustafa Kemal Atatürk,  Nutuk‎[1],",,
گوبره,[ɟøbˈɾɛ],"dung, manure, fertilizer, Synonyms: فشقی‎ (fışkı),",,
گوبك,/ɟø.bec/,"navel, kernel, pith, heart, generation, degree of descent",,
یاصتیق,/jasˈtɯk/,pillow,,
یاقه,[jɑˈkɑ],collar of a garment,,
یت,/ijet/,A condition or state of being the thing or being in,,
یمین,/je.miːn/,"oath, Synonym: آند‎ (and)",,
ینه,/ji.ne/,"again, still, yet",,
یورك,/jyˈɾɛc/,"heart, Synonym: قلب‎ (kalb)",,
یوغورت,/joˈɣurt/,"yoghurt, yogurt",,
یڭیبهار,[jeˌŋi.bɑ.ˈhɑːɾ],allspice,,
