L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
고레사니,/ko̞ɾe̞sʰa̠ni/,whale,,
고맙다,/komapta/,"to be thankful; to be grateful, 고맙수다gomapsudathank",,
고맙수다,/ko̞ma̠p̚s͈uda̠/,thank you,,
고소리술,/ko̞sʰo̞ɾisʰuɭ/,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",,
고와리,/ko̞wa̠ɾi/,"bracken, fernbrake (Pteridium aquilinum), bracken fiddlehead,",,
고쩌,/ko̞t͈ɕə/,"again, once more
Synonym: 따시 (ttasi)",,
곡지,/ko̞k̚t͡ɕ͈i/,song,,
골히,/ko̞ɾɦi/,ring; loop,,
공거리,/ko̞ŋɡəɾi/,concrete,concrete,kˈɑːŋkɹiːt
공고리,/ko̞ŋɡo̞ɾi/,concrete,concrete,kˈɑːŋkɹiːt
공븨ᄒᆞ다,/koŋbɰihɒda/,"to study, 무신거 공븨ᄒᆞ엿우과? ― Musingeo gongbuihaw-yeos-ugwa?",,
관광객,/kwa̠nɡwa̠ŋɡæk̚/,"tourist, sightseer, traveler",,
구수매,/kusumæ/,a nine year-old horse,,
구월,[kuwəɭ],September,,
구쟁이,/kud͡ʑæŋi/,"the turban snail, Turbo cornutus",,
굴레,/kuɭɭe̞/,(colloquial) mouth,,
굼기,/kumɡi/,hole; cavity,,
굼부리,/kumbuɾi/,crater,,
굿,/kut̚/,kut (shamanistic ritual),,
궂다,/kut̚t͈a̠/,"to be bad, to be disgusting, unpleasant, to be irksome",,
권작,/kwəɲd͡ʑa̠k̚/,"acrobatics, somerset, tumbling",,
그,/kɨ/,(demonstrative) that,,
금승,/kɨmsɨŋ/,a yearling (one-year old),,
금승매,/kɨmsɨŋmæ/,a one year-old horse,,
기,/ki/,(casual) really?,,
기실,/kiɕʰiɭ/,"energy, vigor",,
기영,/kijəŋ/,like that,,
깝,/k͈a̠p̚/,"price, 깝이 언메우꽈?kkab-i eonme-ukkwaHow much does it cost?,",,
꼿밧,/k͈o̞t̚p͈a̠t̚/,flower garden,,
꽈,/k͈wa/,final interrogative particle.,,
나데읏다,/na̠de̞ɨt̚t͈a̠/,to be weak and without energy,,
나라,[na̠ɾa̠],"country, nation, kingdom",,
나시다,/na̠ɕʰida̠/,"to be sharp, pointed",,
나흘,/na̠ɦɨɭ/,four days,,
날ᄍᆞ,/na̠ʎt͡ɕ͈ɒ/,"date, days",,
날씨,/na̠ɭʃ͈i/,weather,,
날쿠시,/na̠ɭkʰuʃi/,"A sign of bad weather
구룸이 가망허게 찐 걸 보난 날쿠시여.gurum-i gamangheoge jjin geol bonan nalkusiyeo.Seeing the clouds turned black is a sign that the weather is getting worse.",,
남비,/na̠mbi/,a cooking pot,,
남인가장,/na̠minɡa̠d͡ʑa̠ŋ/,patriarch,,
내치다,/næt͡ɕʰida̠/,"To disgorge, discharge, regurgitate, spew, throw up,",,
너내,/nənæ/,second-person plural pronoun; you,,
넛하르방,/nətʰa̠ɾɨba̠ŋ/,Father's loyalty,,
네,/ne̞/,four,,
네,/ne̞/,smoke,,
네,/ne̞/,smoke,,
넷,/ne̞t̚/,four,,
노끄다,/no̞k͈ɨda̠/,"to be high, tall, lofty",,
노렴,/no̞ːɾjəm/,"anger, indignation",,
노피,/no̞pʰi/,height,,
