L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
अः,/ə̤/,Used to represent the [ə̤] sound in Gamale Kham,,
काः,/kɐ̤/,dog,,
कुचो,/kut͡so/,broom,,
कोपास,/ko.pɐs/,cotton,,
घ,/ɡə̤/,Used to represent the [ɡV̤] sound in Gamale Kham,,
ङ,/ŋə/,Used to represent the [ŋ] sound in Gamale Kham,,
चो,/t͡so/,to boil,,
चोः,/t͡so̤/,to hit,,
ज़,/zə/,Used to represent the [z] sound in Gamale Kham,,
ज़ा,/zɐ/,child,,
ज़ी,/zi/,bee,,
जा,/d͡zɐ/,utensil,,
जोरो,/d͡zoro/,fever,,
झ,/d͡zə̤/,Used to represent the [d͡zV̤] sound in Gamale Kham,,
झ़,/zə̤/,Used to represent the [zV̤] sound in Gamale Kham,,
ताँद,/tɐ̃.də/,manger,,
ध,/də̤/,Used to represent the [dV̤] sound in Gamale Kham,,
न्ह,/n̥ə/,Used to represent the [n̥] sound in Gamale Kham,,
भ,/bə̤/,Used to represent the [bV̤] sound in Gamale Kham,,
भेरा,/be̤.rɐ/,sheep,,
भैसा,/bə̤j.sɐ/,buffalo,,
भ्रे,/bre̤/,bread,,
मएल,/mə.el/,dirt,,
मकै,/mə.kəj/,"corn, maize",,
मक्रा,/mək.rɐ/,spider,,
मजा,/mə.d͡zɐ/,"fun, nice",,
माङ्खा,/mɐŋ.kʰɐ/,fly,,
मिन,/min/,name,,
म्ह,/m̥ə/,Used to represent the [m̥] sound in Gamale Kham,,
लक्री,/lək.ri/,girl,,
व़,/ɥə/,Used to represent the [ɥ] sound in Gamale Kham,,
व़ा,/ɥɐ/,"sense, consciousness, spirit",,
व़ाः,/ɥɐ̤/,upper thigh,,
व़ाः,/ɥɐ̤/,stem of to turn around to look in another direction,,
व़ि,/ɥi/,(intransitive) to leak,,
व़िःसि,/ɥi̤.si/,to fart,,
व़िसि,/ɥisi/,"stem of to fight, dispute",,
व़ी,/ɥi/,yam,,
व़े,/ɥe/,husband,,
व़ें,/ɥẽ/,nasal leech,,
व़ें-,/ɥẽ/,stem of to shave,,
व़ेःवो,/ɥe̤.wo/,sweet,,
वाःङ,/wɐ̤ŋ/,waist,,
वाङ,/wɐŋ/,to echo,,
ह्ल,/ɬə/,Used to represent the [ɬ] sound in Gamale Kham,,
ह्ला,/ɬɐ/,leaf,,
ह्लु,/ɬu/,long,,
ह्लु,/ɬu/,stem of (intransitive) to become longer,,
ह्लेपा,/ɬe.pɐ/,male,,
ह्व,/ʍə/,Used to represent the [ʍ] sound in Gamale Kham,,
ह्व़,/ɥ̊ə/,Used to represent the [ɥ̊] sound in Gamale Kham,,
ह्व़ा,/ɥ̊ɐ/,moon,,
ह्व़ि,/ɥ̊i/,stem of to split,,
ह्व़िसि,/ɥ̊isi/,stem of to learn,,
ह्व़ी,/ɥ̊i/,Himalayan giant nettle (Girardinia diversifolia),,
ह्व़ी,/ɥ̊i/,"like that, this way",,
ह्व़े,/ɥ̊e/,an evil spirit which is believed to pull someone off a cliff or into a river,,
ह्व़े,/ɥ̊e/,"(transitive, agriculture) stem of to winnow",,
ह्वा,/ʍɐ/,tooth,,
ह्वी,/ʍi/,a kind of fabric bag  for storage of flour; sack,,
ह्वे,/ʍe/,"beyond, across, on the other side",,
ह्वें,/ʍẽ/,"lower, beneath",,
ह्वोङ,/ʍoŋ/,distant,,
ह्वोङ,/ʍoŋ/,"aside, further, behind",,
ॱव़े,/ɥeʔ/,to sell,,
ॱह्व़ि,/ɥ̊iʔ/,stem of to teach,,
ॱह्व़िँ,/ɥ̊ĩʔ/,stem of (transitive) to burn,,
ॱह्व़िँसि,/ɥ̊ĩʔsi/,stem of (intransitive) to burn,,
ॱह्व़ो,/ɥ̊oʔ/,"fried wheat, corn,  soya bean",,
