L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
fol,/fol/,"(feminine) mad, crazy, insane, Synonym: pagli",,
fou,/fu/,"(masculine) mad, crazy person",,
fou,/fu/,"(masculine) mad, crazy, insane, Synonym: pagla",,
fre,/fʁe/,"chilly, chilled, cold, fresh",,
frer,/fʁɛː/,brother,,
freser,/fʁesɛː/,"chilliness, coldness, freshness",,
gagne,/ɡɛɲe/,"to be., to have., to win., to gain; obtain.",,
gajak,/ɡadʒak/,a snack; appetizer; starter,,
gaon,/ɡaɔ̃/,"village, Synonym: vilaz, countryside, Synonym: lakanpagn",,
ghin,[ɡʰin],"disgust, repugnance, hatred",,
gid,/ɡid/,a guide,,
gid,/ɡid/,Medial form of gide,,
gide,/ɡide/,to guide,,
gran,/ɡʁɑ̃/,"great, grown-up, big, tall",,
granmama,/ɡʁɑ̃mama/,"grandmother, great-grandmother, Synonyms: granmer,",,
granmer,/ɡʁɑ̃mɛː/,"grandmother, Synonyms: aji, dadi, granmama, mami, nani",,
granpapa,/ɡʁɑ̃papa/,"grandfather, great-grandfather",,
granper,/ɡʁɑ̃pɛː/,"grandfather, Synonyms: aja, dada, granpapa, papi, tata",,
horni,/(h)oɾni/,"a shawl; scarf, a veil",,
imilian,"/imiljɑ̃,  ym-/",humiliating,,
imiliasion,"/imiljasjɔ̃, ym-/",humiliation,,
imilie,/imilje/,"humiliate, Synonyms: abese, denigre",,
informasion,[ɛ̃foːmasjɔ̃],"broadcast news, Synonyms: samachar, zournal, news,",,
inn,/in/,(auxiliary) Used to indicate present perfect tense,,
itilizasion,/itilizasjɔ̃/,"utilisation, use",,
itilizater,/itilizatɛː/,user,,
itilize,/itilize/,"to use, utilise, Synonym: servi",,
jos,/dʒos/,"pleasure; happiness, Synonym: lazwa",,
kadav,/kadav/,"corpse, cadaver",,
kaka,/kaka/,"poo, excrement, Synonyms: bezwin, exkreman, tata",,
kaka,/kaka/,"to poo, defecate",,
kalash,[kələʃ],(Hinduism) a kalasha,,
kamli,[kamli],"blanket, Synonyms: kouvertir, kwet, molton",,
kanpagn,"/kɑ̃paɲ, -aj/","campaign, alternative form of lakanpagn",,
kanpagnar,/kɑ̃paɲɑː/,countryside dweller,,
kapav,[kapav],"maybe; perhaps, Synonyms: bizin, devet",,
kapav,[kapav],(auxiliary) can; to be able to,,
karay,[kaʁaj],"a cooking pan, frying pan",,
kas,/kas/,"money, Synonyms: larzan, paisa, cash",cash,kˈæʃ
kas,/kas/,Medial form of kase,cash,kˈæʃ
kas,/kas/,Medial form of kase,cash,kˈæʃ
kasrol,[kasʁol],saucepan,,
katedral,/katedʁal/,(Christianity) cathedral,,
kav,[ka(v)],(auxiliary) can; to be able to,,
khala,/kʰala/,"aunt, Synonym: matant",,
kokin,/kokɛ̃/,to steal; rob.,,
koneksion,[koneksjɔ̃],connection,,
konekte,[konekte],to connect,,
koral,/koral/,choir,,
kouler,/kulɛː/,colour,,
kouver,[kuvɛː],"covered, cloudy",,
kouver,[kuvɛː],to cover,,
kouvertir,[kuvɛːtiːə],"cover, covering",,
kouyon,[kujɔ̃],"(vulgar) dickhead, bastard, a stupid person",,
kreyon,/kʁejɔ̃/,pencil,,
kwet,[kwet],"duvet, quilt, blanket, Synonyms: kamli, kouvertir,",,
lafnet,/lafnet/,window,,
lagazet,[laɡazet],"newspaper, Synonym: zournal",,
lakanpagn,/lakɑ̃pãj/,"countryside, Synonym: gaon",,
lame,[lame],hand,,
lamizman,/lamizmɑ̃/,"fun, Synonym: maja, amusement",,
lanterman,[lɑ̃tɛːmɑ̃],"burial, funeral",,
