L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
abone,[ˈɑːbonɛ],subscriber,,
adır,[ɑˈdɪɾ],fire,,
akewtene,[ɑkɛwtˈɛnə],to rise,,
akotene,[ɑkotˈɛnə],Alternative form of akewtene,,
akutene,[ɑkutˈɛnə],Alternative form of akewtene,,
altûn,[ɑlˈtʉn],gold,,
amayene,[ɑmɑːˈɛnə],Alternative form of ameyene,,
ameyene,[ɑmɛːˈɛnə],"to come, to arrive",,
amnan,[ɑmˈnɑn],summer,,
aresiyene,[ɑrɛsiːˈɛnə],to rest,,
arzan,/ar.zɑn/,(Middle Zazaki) cheap,,
aşire,[ɑˈʃiɾə],Alternative form of eşire,,
bari,/baˈri/,"thin, slim",,
bayraqı,[bɑjˈɾɑqɪ],Alternative form of beyraqe,,
belki,/bɛlcɪ/,"maybe, possibly, probably",,
berdene,[bɛrdˈɛnə],"to bring, to carry",,
beyraqe,[bɛjˈrɑqə],flag,,
bıze,/bɪˈzə/,goat,,
biyayene,[bijɑːˈɛnə],Alternative form of biyene,,
biyene,[biːˈɛnə],to be,,
casus,[dzɑˈsus],spy,,
cawıtene,[dzɑwɪtˈɛnə],to chew,,
cıgeyrayış,[dzɪˈɡɛjɾɑjɪʃ],"search, research",,
cıl,[ˈdzɪl],"gunny (coarse fabric, typically made of hemp or jute fiber and used especially for sacks)",,
cucek,[d͡ʒuːˈd͡ʒe],chick,,
cutene,[dzutˈɛnə],Alternative form of cawıtene,,
cuwıtene,[dzuwɪtˈɛnə],Alternative form of cawıtene,,
cuyene,[dzuːˈɛnə],Alternative form of cawıtene,,
dade,[dɑˈdə],"(colloquial) maternal grandmother
Synonym: dapire",,
dare,/dɑˈɾə/,tree,,
dayene,[dɑːˈɛnə],to give,,
ded,[ˈdɛd],"paternal uncle[1]
No dedê mıno ke to rê vano. ― This is my uncle speaking to you.
Namê dedê mı Roberto. ― Name of my uncle is Robert.",,
desmal,[dɛsˈmɑl],Alternative form of destmale,,
desmale,[dɛsˈmɑlə],Alternative form of destmale,,
desmalı,[dɛsˈmɑlɪ],Alternative form of destmale,,
destan,[dɛsˈtɑn],"an epic, a saga",,
