L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
alumar,[alyˈma],to light,,
amar,/a.ma/,"to love, Je t'âmo ― I love you., to like, Il âme bien",,
avêr,/aˈver/,to have,,
betar,/bøˈta/,to put,*bōtan,ˈæstɚɹˌɪsk bˈɑːtən
bon,/bɔ̃/,"good, Comment el est bon de vos veir !, right, correct,",,
chalêr,/tsa.lēr/,"(impersonal, reflexive, sé chalêr) to bother, to worry,",,
chôd-temps,/θo.tɛ̃/,summer,,
diccionèro,/dik.sjɔ.nɛːro/,dictionary,,
falêr,/fa.lēr/,"(impersonal) to be necessary, O ne fôt pas fâre cen,",,
fèna,/ˈfɛnɑ/,woman,,
finir,/finiʁ/,"to finish, end, complete",,
hivèrn,/i.vɛr/,winter,,
homo,/ˈomo/,man,,
motiér,/o.tõ/,"minster, church",,
ôton,/o.tõ/,autumn,,
ouè,/ˈwɛ/,yes!,,
ouè,/ˈwɛ/,yes,,
pôt-étre,/pɛˈtetrə/,(Bressan dialect) maybe,,
relojo,/rɛˈloʒo/,clock,,
rendre,/rendʁ/,"to render, to give back, to make, Tu me rends malade,",,
rousa,/ˈruzɑ/,rose,,
sêson,/sɛ.zɔ̃/,season,,
valêr,/va.lēr/,"(intransitive) to be worth, (transitive) to earn, to",,
vendre,/vendʁ(ə)/,"(transitive) to sell, (reflexive) to sell, Celi livro",,
