L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
bakur,/bɑːˈkʊɾ/,north,,
balafir,/bɑːlɑːˈfɪɾ/,airplane,,
balafirgeh,/bɑːlɑːfɪɾˈɡɛh/,"airport, 2012,  “22 Kasım 2011 Basın Özetleri”, in",,
balafirvan,/bɑːlɑːfɪɾˈvɑːn/,pilot,,
balans,-ɑːns,balance (equilibrium),,
balexanî,/bɑːlɛxɑːˈniː/,skyscraper,,
balinde,/bɑːlɪnˈdɛ/,bird,,
balkêş,/bɑːlˈkeːʃ/,interesting,,
balkêşî,/bɑːlkeːˈʃiː/,interest,,
balyoz,/bɑːlˈjoːz/,ambassador (minister),,
balyozxane,/bɑːljoːzxɑːˈnɛ/,embassy,,
balîna,/bɑːliːˈnɑː/,"whale
Synonyms: hût, neheng",,
ban,/bɑːn/,roof,,
bandev,/bɑːnˈdɛv/,summit,,
bandor,/bɑːnˈdoːɾ/,"effect, influence, impression",,
bandorker,/bɑːndoːɾˈkɛɾ/,"influencer, effecter",,
bandorker,/bɑːndoːɾˈkɛɾ/,effective,,
bang,/bɑːŋɡ/,a shout.,,
bangkirin,/bɑːŋɡkɪˈɾɪn/,"calling, exclamation, announcement",,
bar,/bɑːɾ/,burden (a heavy load),,
baregeh,/bɑːɾɛˈɡɛh/,"headquarter, 2012,  “31 Ekim 2011 Basın Özetleri”,",,
Barnas,/bɑːɾˈnɑːs/,A male given name,,
bastîq,/bɑːsˈtiːq/,fruit pulp sheets dried under direct sunlights and,,
bav,/bɑːv/,father,,
Bawer,/bɑːˈwɛɾ/,A male given name,,
baweşînk,/bɑːwɛˈʃiːŋk/,fan,,
baxçe,/bɑːxˈt͡ʃɛ/,garden,,
bazdan,/bɑːzˈdɑːn/,to escape,,
bazirgan,/bɑːzɪɾˈɡɑːn/,"merchant, trader, businessman, caravan",,
bazirganî,/bɑːzɪɾɡɑːˈniː/,trade,,
baçîk,/bɑːˈt͡ʃiːk/,rye,,
baş,/bɑːʃ/,good,,
başî,/bɑːˈʃiː/,benefaction,,
başûr,/bɑːˈʃuːɾ/,south,,
bed,-ɛd,bad,,
bedbext,/bɛdˈbɛxt/,unhappy,,
bedenî,/bɛdɛˈniː/,bodily,,
Bedirxan,/bɛdɪɾˈxɑːn/,A male given name,,
belav,/bɛˈlɑːv/,"scattered, dispersed",,
belavok,/bɛlɑːˈvoːk/,flyer,,
belediye,/bɛlɛdɪˈjɛ/,municipality,,
belişandin,/bɛlɪʃɑːnˈdɪn/,to incite,,
belê,/bɛˈleː/,yes,,
ben,-ɛn,"string, rope",,
