ID,Form,IPA,Gloss,Language_ID
0,ama,,dog,0
1,aya,,father,0
2,bo,,I (first-person singular personal pronoun),0
3,dife,,village,0
4,ju,,you (second-person singular personal pronoun),0
5,mise,,woman,0
6,nɛba,,child,0
7,tu,,water,0
